x_lungers,y_lungers,x_cytopenias,y_cytopenias,x_augment,y_augment
-76.148,-3462.789,-76.391,-253.012,-76.453,10372.916
-75.136,-3391.165,-75.377,-272.728,-75.439,10201.719
-74.125,-3264.078,-74.363,-220.459,-74.425,9827.481
-73.114,-3199.06,-73.349,-296.145,-73.41,9515.725
-72.102,-3113.836,-72.335,-235.867,-72.396,9367.035
-71.091,-2998.992,-71.322,-243.09,-71.381,8833.225
-70.079,-2919.854,-70.308,-216.971,-70.367,8942.718
-69.068,-2822.617,-69.294,-170.969,-69.353,8509.941
-68.057,-2729.047,-68.28,-224.268,-68.338,8256.47
-67.045,-2629.372,-67.267,-185.238,-67.324,8003.507
-66.034,-2551.111,-66.253,-222.037,-66.309,7872.511
-65.023,-2488.175,-65.239,-198.689,-65.295,7513.646
-64.011,-2399.772,-64.225,-192.124,-64.281,7294.098
-63.0,-2309.655,-63.212,-233.161,-63.266,7177.819
-61.989,-2239.075,-62.198,-173.968,-62.252,6956.146
-60.977,-2176.152,-61.184,-194.612,-61.238,6657.416
-59.966,-2095.381,-60.17,-176.979,-60.223,6461.733
-58.954,-2016.019,-59.156,-165.875,-59.209,6167.912
-57.943,-1947.46,-58.143,-158.168,-58.194,6029.013
-56.932,-1857.021,-57.129,-193.2,-57.18,5811.248
-55.92,-1805.679,-56.115,-181.228,-56.166,5603.396
-54.909,-1733.966,-55.101,-183.25,-55.151,5384.75
-53.898,-1682.198,-54.088,-157.347,-54.137,5383.266
-52.886,-1604.546,-53.074,-133.825,-53.122,5007.462
-51.875,-1572.813,-52.06,-148.745,-52.108,4788.549
-50.864,-1472.992,-51.046,-164.59,-51.094,4616.398
-49.852,-1423.076,-50.033,-125.584,-50.079,4300.717
-48.841,-1356.757,-49.019,-183.47,-49.065,4322.531
-47.829,-1298.34,-48.005,-165.87,-48.05,4180.027
-46.818,-1241.217,-46.991,-185.257,-47.036,3902.806
-45.807,-1189.707,-45.977,-156.75,-46.022,3753.486
-44.795,-1164.283,-44.964,-156.596,-45.007,3747.191
-43.784,-1066.291,-43.95,-119.715,-43.993,3507.014
-42.773,-1019.894,-42.936,-137.659,-42.979,3271.511
-41.761,-972.451,-41.922,-138.296,-41.964,3101.548
-40.75,-892.979,-40.909,-61.19,-40.95,2996.482
-39.739,-876.511,-39.895,-116.033,-39.935,2791.009
-38.727,-819.903,-38.881,-103.258,-38.921,2688.437
-37.716,-751.053,-37.867,-130.603,-37.907,2368.421
-36.704,-711.029,-36.854,-67.648,-36.892,2429.074
-35.693,-705.285,-35.84,-124.702,-35.878,2341.252
-34.682,-635.592,-34.826,-134.84,-34.863,2221.864
-33.67,-594.934,-33.812,-75.049,-33.849,2040.567
-32.659,-538.047,-32.799,-79.503,-32.835,1733.209
-31.648,-527.708,-31.785,-65.899,-31.82,1788.074
-30.636,-485.786,-30.771,-98.415,-30.806,1520.674
-29.625,-435.627,-29.757,-53.963,-29.791,1676.416
-28.614,-398.007,-28.743,-103.242,-28.777,1564.17
-27.602,-370.905,-27.73,-67.654,-27.763,1257.369
-26.591,-348.987,-26.716,-67.103,-26.748,1231.922
-25.579,-277.311,-25.702,-71.709,-25.734,1248.563
-24.568,-313.894,-24.688,-83.843,-24.719,1122.596
-23.557,-254.895,-23.675,-44.339,-23.705,1018.79
-22.545,-229.471,-22.661,-97.205,-22.691,889.458
-21.534,-178.7,-21.647,-18.337,-21.676,831.02
-20.523,-210.621,-20.633,-95.048,-20.662,673.408
-19.511,-155.225,-19.62,-86.769,-19.648,734.301
-18.5,-136.001,-18.606,-58.537,-18.633,633.246
-17.489,-116.419,-17.592,-40.776,-17.619,578.536
-16.477,-106.845,-16.578,-26.383,-16.604,465.537
-15.466,-81.157,-15.564,-45.404,-15.59,423.336
-14.454,-93.554,-14.551,-144.292,-14.576,562.997
-13.443,-65.541,-13.537,-23.172,-13.561,257.465
-12.432,-51.358,-12.523,-70.44,-12.547,218.162
-11.42,-54.211,-11.509,21.491,-11.532,146.801
-10.409,-53.724,-10.496,-10.15,-10.518,183.663
-9.398,0.063,-9.482,-16.407,-9.504,-117.881
-8.386,-9.118,-8.468,-41.289,-8.489,84.722
-7.375,-33.052,-7.454,-53.67,-7.475,60.648
-6.364,18.277,-6.441,-34.438,-6.46,-88.679
-5.352,17.019,-5.427,-55.852,-5.446,-97.258
-4.341,6.433,-4.413,-31.253,-4.432,89.063
-3.33,-8.075,-3.399,20.564,-3.417,-55.956
-2.318,-14.675,-2.385,26.469,-2.403,-91.581
-1.307,-24.594,-1.372,-15.994,-1.389,-49.05
-0.295,1.723,-0.358,-17.094,-0.374,33.542
0.716,-19.118,0.656,7.76,0.64,-25.683
1.727,-9.556,1.67,-11.058,1.655,-67.809
2.739,-33.567,2.683,-4.677,2.669,41.159
3.75,-45.5,3.697,-10.817,3.683,4.883
4.761,-27.522,4.711,1.812,4.698,16.259
5.773,-50.184,5.725,-10.675,5.712,235.836
6.784,-65.482,6.738,13.096,6.727,72.906
7.795,-81.831,7.752,45.958,7.741,113.004
8.807,-91.312,8.766,5.359,8.755,66.09
9.818,-116.894,9.78,32.143,9.77,145.782
10.83,-129.689,10.793,72.475,10.784,148.096
11.841,-152.209,11.807,28.886,11.799,314.318
12.852,-161.785,12.821,20.261,12.813,361.639
13.864,-233.754,13.835,31.338,13.827,271.474
14.875,-244.531,14.849,30.808,14.842,101.707
15.886,-236.354,15.862,30.241,15.856,386.631
16.898,-277.83,16.876,89.297,16.87,545.38
17.909,-290.948,17.89,63.352,17.885,573.978
18.92,-329.614,18.904,61.818,18.899,461.552
19.932,-377.821,19.917,77.905,19.914,631.764
20.943,-411.328,20.931,32.069,20.928,741.555
21.955,-432.496,21.945,72.989,21.942,901.884
22.966,-441.107,22.959,89.856,22.957,1003.607
23.977,-487.095,23.972,54.85,23.971,1025.598
24.989,-454.506,24.986,35.264,24.986,1052.74
26.0,-547.811,26.0,60.193,26.0,1124.852
