limey,mastiffs
Judaea,121.38026400867403
Judaea,123.25907541697045
Judaea,121.9153891230063
Judaea,121.17732362266129
Judaea,121.7352562105532
Judaea,118.29798275185337
Judaea,125.78729272133107
Judaea,131.07000905443627
Judaea,122.50365893300508
Judaea,116.0627705730384
Judaea,120.12763715919367
Judaea,123.99498538032778
Judaea,127.69319977624852
Judaea,119.30032505690454
Judaea,126.85111028878832
Judaea,117.76498400629366
Judaea,121.42628092898896
Judaea,126.82970154826177
