spies,cytopenias
effacement,-2.8140798944530725
effacement,-2.7778900599059133
effacement,-2.5320821551664268
effacement,-2.0032552750275694
effacement,-1.911207449447129
effacement,-1.6050211803590717
effacement,-1.49982553617618
effacement,-1.39580247741704
effacement,-1.2041069568888347
effacement,-1.1886952651171054
effacement,-1.018871123711848
effacement,-0.39514366881208923
effacement,0.2674257206718992
effacement,0.47478949199457265
effacement,1.1130598957614861
effacement,1.2281067150097897
effacement,1.9568178255914666
effacement,2.211353346339584
effacement,2.221199586167682
effacement,2.980066659410665
effacement,3.779298107754184
effacement,3.923557803660184
effacement,4.331752698283086
effacement,4.39196541481606
effacement,4.424642393350349
effacement,4.482871966833133
effacement,4.87324931013712
effacement,4.898491487610538
effacement,5.07647393077501
effacement,5.576768500954049
effacement,5.773788989365733
effacement,6.189960346442288
effacement,6.542056853975497
effacement,6.63613996449361
effacement,6.656357200577517
effacement,6.8812629864172274
effacement,7.381392384265302
effacement,7.4104089277648635
effacement,7.665537602358815
effacement,7.749758600255852
effacement,8.349730926191649
effacement,8.395312226047979
effacement,8.441392426318549
effacement,8.630016540184346
effacement,9.0561585111421
effacement,9.636968727502287
effacement,9.872870199785012
effacement,9.873190590741528
effacement,10.175409018360853
effacement,10.424894427481727
effacement,10.563334632113921
effacement,10.872816052985916
effacement,11.196482328382091
effacement,11.19872598034486
effacement,12.787303369117666
effacement,13.772305993048093
effacement,14.105125638203804
effacement,16.892997720937828
effacement,17.084571578565097
effacement,19.174984330684644
