x_perennibranch,y_perennibranch,x_azithromycin,y_azithromycin,x_augment,y_augment,x_bull-tongue,y_bull-tongue,x_lungers,y_lungers
-0.691,-3.4526991079443166,0.059,-22.874,2.61,37.017,0.488,4.118746558953418,2.992,4.344925492100426
15.031,-0.5326092086672283,0.202,-50.991,-1.793,-49.955,-2.621,1.8600907982853085,-1.466,-21.816036039239215
-1.517,-16.25117306947046,1.298,-61.242,-2.97,2.969,10.794,8.198852006027941,-1.579,17.442375133645424
-0.474,-22.957136111088566,0.371,-22.882,-1.147,7.182,1.856,-2.536355303275452,0.143,-11.963039707746105
8.301,-11.630945512288644,7.735,-0.852,2.284,73.704,0.347,-0.5154991036862231,-4.561,-14.320740200845078
0.356,5.779948163829329,5.754,27.255,-2.993,2.257,-1.316,3.9657083121718673,-2.211,42.43581967133324
7.517,11.071275087620108,-0.059,-53.296,4.259,49.531,7.253,-0.1086790475389755,-0.395,-27.115588475564085
3.285,37.50725181066076,9.538,-29.605,-4.632,-55.035,-8.121,-3.4138788724683704,4.293,-5.792209492256497
1.482,1.4257551791347203,1.711,-27.458,-9.681,-95.99,1.298,-6.248421424158363,0.409,-23.93995308955443
-10.932,-28.39316287189827,-0.356,39.04,-0.504,-62.428,-0.079,-6.54164247523447,1.984,37.22834151622828
-6.449,56.21287366754227,0.657,100.689,-0.076,-32.355,3.754,2.4956245017741097,6.346,26.701827931727546
-0.783,6.40298992120897,-9.985,22.537,3.032,72.009,0.26,-3.2705271459211804,2.534,3.8736881829022205
-4.829,3.75636618185586,1.957,-18.622,-2.355,-58.254,0.766,-4.661128511853212,1.011,-9.455179064565106
2.234,-11.632196516532886,-4.481,7.032,-4.306,-29.564,0.216,-2.3163881225003964,-4.478,6.078424375640919
2.09,36.50752929241298,0.016,42.294,3.296,-22.28,-0.392,1.9027051108217343,-0.958,7.454141263756783
6.89,-24.706244712208854,-0.273,9.723,-0.242,-68.845,15.256,-4.890953926350368,-6.615,-11.009147699018627
-1.039,33.447447754523495,2.93,-90.886,0.988,34.828,5.002,-3.0897424299343252,-0.065,27.523380248491293
2.65,1.7257134333245645,13.816,12.063,0.004,62.848,-1.369,-0.6586065359943984,-0.526,74.58255201862985
0.417,43.221232303532666,2.516,-39.445,9.492,70.39,0.005,-1.8938607815315702,3.009,37.6586360552726
-2.173,7.112080980516666,-12.312,8.374,4.919,6.034,-1.983,-2.2973186571269197,5.39,-4.996129725863778
13.123,15.585880623555,8.487,-38.268,3.316,25.515,-1.678,3.770779769537978,9.958,34.98759788362128
4.866,19.397171973028964,1.941,18.17,4.18,20.089,3.287,-3.60249636503429,13.396,28.69544758310934
1.608,-33.7568719869389,4.046,-71.506,-3.243,-53.438,-0.52,-0.9518335234613545,-8.002,6.139796783598607
-8.989,15.07379706199999,0.386,26.975,-1.871,-42.995,-7.307,2.2281658847645534,4.242,-23.843840898869516
-11.488,-29.480921998830965,3.353,29.139,-6.197,-30.651,0.153,2.75173383154782,2.1,-15.329074783160255
-3.853,-89.69427771616262,5.416,16.012,3.947,75.835,-1.252,-6.094885875544251,-0.294,28.385423971383755
0.025,-10.335392291037998,-4.644,-90.635,-4.737,-11.799,2.977,1.387403682370527,20.383,-31.287912843607348
-8.697,10.264687516989985,9.089,70.123,0.45,40.288,2.454,-7.252214491337156,-0.959,-13.95627933223527
1.064,-20.5904217277764,11.521,-93.055,-0.52,-57.665,-13.407,0.09196352772962521,-16.279,18.285239574132813
6.282,4.677977558687111,3.68,-43.181,3.585,79.514,4.507,-0.10567905713785719,1.102,1.658265585805422
-14.326,9.300477739353738,-7.258,-52.934,-5.598,-5.775,2.484,-0.49813248208770333,1.788,28.160836186685604
0.513,-4.5256296130867515,0.561,62.348,0.357,-27.822,1.381,-7.76429907956537,1.0,56.59658568319861
1.718,-39.403790103295975,-2.941,102.247,-0.364,-15.081,0.245,4.409527240560479,-0.147,2.8826923832472
-3.135,-13.82473342788591,-5.44,307.566,-3.037,-14.844,-12.78,-1.7934272260038802,2.547,-22.57161543413499
1.002,-16.800919815263825,-7.024,11.875,2.211,49.848,5.235,-1.5242348588722754,-7.609,-32.01285563616442
-1.135,46.17601629779365,0.81,29.174,2.956,3.507,-6.333,1.258556638550806,1.953,27.31043450356941
-0.436,-31.34389086850611,-1.846,-22.061,-9.011,-103.452,9.413,4.289512639738481,-7.635,13.844189316572967
-1.719,-2.0274373293351253,-10.064,78.385,7.276,5.137,-2.133,1.1234767742505083,-5.591,-14.376090314635572
4.196,6.361579342102385,0.006,52.24,3.777,36.752,0.123,13.459748328177653,4.908,-13.328893179099815
0.007,-23.921322956073727,-23.334,94.401,5.871,56.058,6.016,-0.24583162239640943,-1.811,-6.307095633241049
-0.351,18.489459746598143,-6.209,12.405,2.342,-23.443,4.308,-3.2483362578022588,4.826,36.21264536485101
