dissection,biblioclast
limey,113.0672973847928
limey,116.65598195665243
limey,112.02651909418442
limey,117.61896534701651
limey,106.0764098192219
limey,109.79773751842187
limey,112.94013840918637
limey,118.0857380199458
limey,108.90423666481875
limey,112.7944812177774
limey,118.76053651085924
limey,108.67341730039313
limey,117.31988780717326
limey,113.07623903883818
limey,107.8630752177762
limey,107.94082590522308
limey,119.38668207110254
limey,117.93095431462457
limey,108.8270498768644
limey,108.5200586175495
limey,118.4484561676748
limey,116.33218731613987
limey,111.38530711855891
limey,118.34233566284564
limey,116.70862735142673
limey,112.11830080567103
limey,116.99423743890678
limey,109.78147984864304
limey,115.67597895211709
limey,109.03331905958578
limey,117.23270643678812
limey,112.98015976060192
limey,117.05371373877593
limey,118.12669729951858
limey,111.56714288605001
limey,107.58067432324874
limey,108.90369974046575
limey,115.40985217933007
limey,117.31313694002785
limey,111.8753936865327
limey,118.39546293243998
limey,114.89231018266427
limey,111.34850670822362
limey,117.4169096725648
limey,104.01812736052479
limey,115.06970493314813
limey,106.85357236997359
limey,108.65431243979342
limey,110.89086408007459
limey,111.58211794163054
limey,119.58792241731987
limey,109.5151427768022
limey,112.61915590505536
limey,119.5643413962653
limey,113.74249200557419
limey,115.56121227949318
limey,114.58045977268516
limey,110.57301294397558
limey,110.4192365929829
limey,103.5059134703097
limey,115.0419490770084
limey,124.38114355710654
limey,128.09396154975659
limey,121.82978766276625
limey,119.68000427726793
limey,108.62945072685734
limey,116.70955403055365
limey,110.36156565055158
limey,109.33789015639151
limey,115.91061008349855
limey,119.5196773706558
limey,113.4142373729014
limey,110.9511706851115
limey,115.63251564201605
limey,117.06775496887947
limey,117.72766007917163
limey,110.38156696272779
limey,104.90801196568339
limey,111.00412702825899
limey,116.39806567751125
limey,117.5471318984619
limey,114.69106219033701
limey,105.4942323805566
limey,106.90157820439774
limey,108.31084121404264
limey,117.43128653183426
limey,119.63878734958502
limey,115.95561349934968
limey,112.45507607443614
limey,117.65930112928717
limey,107.74192356063426
limey,112.26645889391907
limey,107.15894743071726
limey,110.1767037445252
limey,115.13952896764549
