cytopenias,lungers
rhomboids,-10.706138256245223
rhomboids,-9.884151739891147
rhomboids,-9.229959888187484
rhomboids,-9.175054060595848
rhomboids,-8.814279157354685
rhomboids,-8.752109925594665
rhomboids,-8.58177954871808
rhomboids,-7.781178889905108
rhomboids,-7.57442531987734
rhomboids,-7.507101025604787
rhomboids,-6.868676136153538
rhomboids,-6.607910052137506
rhomboids,-5.89668896495752
rhomboids,-5.841415713916654
rhomboids,-5.50241424499687
rhomboids,-5.142670984190317
rhomboids,-5.119133853518607
rhomboids,-4.821567259982912
rhomboids,-4.6778885740297556
rhomboids,-4.508186661231122
rhomboids,-3.8666706008540923
rhomboids,-3.5640722540266165
rhomboids,-3.354464767681189
rhomboids,-2.9727058114943565
rhomboids,-2.8901677134980663
rhomboids,-2.8483971323412205
rhomboids,-2.5649140229053264
rhomboids,-2.235836077657824
rhomboids,-2.1242707306543016
rhomboids,-1.391117103661366
rhomboids,-1.3403329869533713
rhomboids,-0.8749138244320086
rhomboids,-0.3323313152067745
rhomboids,-0.23377123507029904
rhomboids,0.1620433185449317
rhomboids,0.4287322678069791
rhomboids,0.5819261170875144
rhomboids,0.6251004224036023
rhomboids,0.6527434769214204
rhomboids,0.7161540110033453
rhomboids,1.6821401903057545
rhomboids,1.7533535003876994
rhomboids,2.058062635562628
rhomboids,2.1534013743577445
rhomboids,2.310574597361912
rhomboids,3.149319028590346
rhomboids,3.2964706488553457
rhomboids,3.3222402752312634
rhomboids,3.7061256946765453
rhomboids,4.029807139381358
rhomboids,4.592930338057148
rhomboids,4.902892888344859
rhomboids,5.442737637646033
rhomboids,5.463253499263578
rhomboids,6.108062813306068
rhomboids,6.537949911476301
rhomboids,6.73078771173206
rhomboids,7.924896420526506
rhomboids,7.999373154419259
rhomboids,8.33679976492626
rhomboids,8.678310137575833
rhomboids,8.90544799778954
rhomboids,9.218199252427526
rhomboids,9.324446081228098
rhomboids,10.426873022103148
rhomboids,11.181262024965312
rhomboids,12.806129275102668
rhomboids,13.078179124445585
rhomboids,13.279799120933202
rhomboids,13.460098793115627
rhomboids,14.048430531252533
rhomboids,15.57367469000579
rhomboids,16.967627694888915
rhomboids,18.403572110799775
rhomboids,20.253227723275515
rhomboids,28.779587644957083
biblioclast,-1.7213316923050022
biblioclast,-1.558048182478737
biblioclast,-1.2351258975558361
biblioclast,-1.2317336045835579
biblioclast,-1.2144985609911982
biblioclast,-1.1269229824776839
biblioclast,-1.0738972385098227
biblioclast,-1.0589000468868957
biblioclast,-0.9834852536310659
biblioclast,-0.9756934701486344
biblioclast,-0.9464322859628747
biblioclast,-0.9329721288497911
biblioclast,-0.9125665940616655
biblioclast,-0.8944368072217462
biblioclast,-0.8582769346381375
biblioclast,-0.8561622895714005
biblioclast,-0.8306745456184813
biblioclast,-0.7882815134390166
biblioclast,-0.7141874337690206
biblioclast,-0.7133749418929183
biblioclast,-0.6947597184919164
biblioclast,-0.679424419777687
biblioclast,-0.6743081617747188
biblioclast,-0.6516645714057273
biblioclast,-0.6258876216149194
biblioclast,-0.6130914642279459
biblioclast,-0.6086856224630868
biblioclast,-0.5895905253342038
biblioclast,-0.5828280948924618
biblioclast,-0.578741935513989
biblioclast,-0.5669023637179185
biblioclast,-0.5329450933363515
biblioclast,-0.5173686290272466
biblioclast,-0.4547018548659494
biblioclast,-0.44739523488299665
biblioclast,-0.4393154398987433
biblioclast,-0.43607862651182927
biblioclast,-0.40589194329900874
biblioclast,-0.405643879640859
biblioclast,-0.40373194250690925
biblioclast,-0.40346472009859946
biblioclast,-0.4020383083276561
biblioclast,-0.3491398043096958
biblioclast,-0.33599777495760447
biblioclast,-0.32133943804723153
biblioclast,-0.3130772628213413
biblioclast,-0.29551103621371083
biblioclast,-0.2767374830413243
biblioclast,-0.27098300987859403
biblioclast,-0.239583375460979
biblioclast,-0.23318255399586582
biblioclast,-0.23205761763048446
biblioclast,-0.2025190846684147
biblioclast,-0.15695852787967504
biblioclast,-0.1280148701958786
biblioclast,-0.1159961311919452
biblioclast,-0.10234566363209822
biblioclast,-0.09167844213404613
biblioclast,-0.09022352914911941
biblioclast,-0.08093506639796315
biblioclast,-0.07513948183167374
biblioclast,-0.07256271396975637
biblioclast,-0.04580184043716108
biblioclast,-0.017421025989062224
biblioclast,-0.008725399570779327
biblioclast,0.004879901178914066
biblioclast,0.1307442946052824
biblioclast,0.16636139190227991
biblioclast,0.17156312620435765
biblioclast,0.1794743766081968
biblioclast,0.2389272086358759
biblioclast,0.24135940161864883
biblioclast,0.2824494250428018
biblioclast,0.29372164332575446
biblioclast,0.3206578817846994
biblioclast,0.3589994367836401
biblioclast,0.41789106812097865
biblioclast,0.43275795938318584
biblioclast,0.43336402731564655
biblioclast,0.4413469887117177
biblioclast,0.442800050997416
biblioclast,0.4830146345526006
biblioclast,0.49838519578017165
biblioclast,0.5114284323726938
biblioclast,0.5252014264509995
biblioclast,0.5541103503414818
biblioclast,0.5740982077358388
biblioclast,0.5889428750726453
biblioclast,0.5907488819423946
biblioclast,0.6380280889404815
biblioclast,0.6575371656301794
biblioclast,0.6712275720548742
biblioclast,0.722012317417255
biblioclast,0.763190471414659
biblioclast,0.7768893017669899
biblioclast,0.8425231913595983
biblioclast,0.97160772503056
biblioclast,0.984926473672198
biblioclast,1.081739643285246
biblioclast,1.1470113257432848
biblioclast,1.1769352638841908
biblioclast,1.2944218540671717
biblioclast,1.756464212978427
biblioclast,2.0200874367914414
biblioclast,2.0781777684000726
substitutes,-19.49745571114659
substitutes,-17.918996180324466
substitutes,-14.922282504722572
substitutes,-14.741566405101638
substitutes,-14.582905116917637
substitutes,-14.195646650236428
substitutes,-12.149267146326796
substitutes,-11.632737476259596
substitutes,-11.46837907471038
substitutes,-10.990486574018036
substitutes,-10.241585659423619
substitutes,-9.926753980434663
substitutes,-9.7920136135355
substitutes,-9.044579540623042
substitutes,-8.497398994633164
substitutes,-8.05046749420041
substitutes,-7.676807192238793
substitutes,-7.383811800734052
substitutes,-7.253640633167809
substitutes,-7.220176964059801
substitutes,-7.080301453260851
substitutes,-6.5537356984410025
substitutes,-6.5212970229797325
substitutes,-6.325519151342677
substitutes,-5.691602953982181
substitutes,-5.635256009258891
substitutes,-5.548715004267667
substitutes,-5.485413736001214
substitutes,-5.00431006774781
substitutes,-4.4717532403076605
substitutes,-4.319235866807902
substitutes,-4.276973317067389
substitutes,-4.064029444147311
substitutes,-3.978816765536066
substitutes,-3.6934616635110173
substitutes,-2.5467267178620427
substitutes,-2.4669025758373326
substitutes,-2.4293745065379966
substitutes,-2.3920136724160295
substitutes,-2.317125469100737
substitutes,-2.0163521160376665
substitutes,-1.9153215899666052
substitutes,-1.7937783915524146
substitutes,-1.6878003140372313
substitutes,-1.5629064589695478
substitutes,-1.3551097118172026
substitutes,-1.2681568259530438
substitutes,-1.169132382371439
substitutes,-1.0975488238930695
substitutes,-0.8510315660888474
substitutes,-0.8502914284433974
substitutes,-0.8284389879775236
substitutes,-0.7118942655374532
substitutes,-0.3492572442760288
substitutes,0.14990545803258484
substitutes,0.34086797905091504
substitutes,0.44258501746229856
substitutes,0.5834932900274102
substitutes,0.6134029889996947
substitutes,1.1534249314735274
substitutes,1.1628568246800004
substitutes,1.4330641157455108
substitutes,1.6244528201298671
substitutes,1.9772708234575649
substitutes,3.0222763294915724
substitutes,3.1627574558894502
substitutes,3.24231309501201
substitutes,3.501624163583877
substitutes,3.8084961354094093
substitutes,3.912945311385421
substitutes,3.9909340209001987
substitutes,4.385115744502673
substitutes,4.590912292699599
substitutes,4.819879887610326
substitutes,5.041420423068212
substitutes,5.061550143764227
substitutes,5.307723207385311
substitutes,5.458972762499268
substitutes,5.745500530590048
substitutes,6.004269070317034
substitutes,6.320189123252023
substitutes,6.724012758018266
substitutes,6.8615054813361755
substitutes,7.262860945410399
substitutes,7.852292045989984
substitutes,7.88321319861383
substitutes,8.066583790972047
substitutes,8.271165425661549
substitutes,8.335039240755501
substitutes,8.392659602782366
substitutes,8.720205075603165
substitutes,8.785021745103013
substitutes,10.15256839110508
substitutes,10.4223340493108
substitutes,10.830707577999549
substitutes,11.380127991972968
substitutes,11.900299396948462
substitutes,11.921691855083823
substitutes,14.881497205670442
