dissection,filibusters
fluor-spar,53.056976992525065
fluor-spar,66.81197712029244
fluor-spar,67.36587929135631
fluor-spar,69.22915070757628
fluor-spar,61.90784355435926
fluor-spar,60.61809323170018
fluor-spar,68.4215994079847
fluor-spar,63.89724395264549
fluor-spar,48.334695250013475
fluor-spar,62.089901034692026
fluor-spar,63.519532177066964
fluor-spar,58.28683860478192
fluor-spar,60.063483787338555
fluor-spar,61.96657257576028
fluor-spar,62.486127090064095
fluor-spar,49.373826762513744
fluor-spar,73.428798672746
fluor-spar,58.65551282277767
fluor-spar,49.951073032448505
fluor-spar,57.481325569569606
fluor-spar,63.8702756756324
fluor-spar,59.571912033969625
fluor-spar,57.325564077051936
fluor-spar,62.29024577326924
fluor-spar,61.547181575945636
fluor-spar,54.84200785296606
fluor-spar,57.93459256117622
fluor-spar,63.581067070008054
fluor-spar,58.185109000035396
fluor-spar,62.48541978804164
fluor-spar,52.949199039034355
fluor-spar,64.24092063309644
fluor-spar,61.13654504970143
fluor-spar,48.241345284040364
fluor-spar,66.92222640710666
fluor-spar,51.71106237397925
fluor-spar,67.39022668158582
fluor-spar,64.87110437645859
fluor-spar,62.24974739771837
fluor-spar,57.19155097324915
fluor-spar,62.018435245581756
fluor-spar,65.12407490247182
fluor-spar,67.43809559341368
fluor-spar,53.207168997145324
fluor-spar,65.74746242335192
fluor-spar,64.49466997258423
fluor-spar,53.66753074250938
fluor-spar,73.77657156892701
fluor-spar,58.22482114305111
fluor-spar,57.447870130029536
fluor-spar,57.99515896568918
fluor-spar,65.59413303927856
fluor-spar,56.58887837587374
fluor-spar,62.75172508148332
fluor-spar,62.320360602957095
fluor-spar,58.46827676441116
fluor-spar,62.11794593740523
fluor-spar,60.895313905050635
fluor-spar,71.96596302692906
fluor-spar,61.07275655324145
fluor-spar,63.689752027548614
fluor-spar,48.734163325765614
fluor-spar,64.28977330101038
fluor-spar,70.04167413051734
fluor-spar,71.04450118913581
fluor-spar,57.27387312692577
fluor-spar,51.551558982450864
fluor-spar,52.0898773323639
fluor-spar,67.25018429149947
fluor-spar,54.24265869707922
fluor-spar,63.3657195654891
fluor-spar,42.345226286764316
fluor-spar,62.91837857973471
fluor-spar,63.45035993409063
fluor-spar,61.67273756438571
fluor-spar,59.400877537352564
fluor-spar,63.20765984013315
fluor-spar,57.09596119030585
fluor-spar,63.4642933842589
fluor-spar,60.06943227186873
fluor-spar,59.72853535192222
fluor-spar,67.92263627280605
spies,68.48781816343302
spies,64.32881312230926
spies,68.15851082593156
spies,82.25323303407896
spies,72.1121288945983
spies,79.07875593797593
spies,64.21487587053304
spies,69.36895315157875
spies,72.45817736568175
spies,79.03696755553794
spies,83.10206341367031
spies,74.41135442629012
spies,67.411840530127
spies,59.61131294905343
spies,69.69183779476188
spies,72.30759186645416
spies,70.98986040266664
spies,73.24097902483294
spies,65.83691028109347
spies,76.66783424394636
spies,77.40616286762658
spies,61.808454399678496
spies,71.61373321227641
spies,67.37363212613707
spies,77.00824161381661
spies,71.35008086435319
spies,70.14826466529675
spies,72.9347109232422
spies,55.864924920034355
spies,66.70071602867552
spies,66.30066886158507
spies,67.9718664183235
spies,76.95745579513898
spies,70.86827488706777
spies,77.32904486913297
spies,83.89736417643721
spies,79.81343973847218
spies,65.92767251116616
spies,77.77953613941834
spies,69.59290172426371
spies,61.37196829681338
spies,59.89172071869599
spies,61.17030220516984
spies,71.24610001533561
spies,70.3768248065479
spies,75.1668796823603
spies,69.82838240745902
spies,80.36417660460916
spies,63.40015838353998
spies,72.53803363197945
spies,67.18647751046673
spies,70.16816408125423
spies,79.0229526844676
spies,73.67845399817128
spies,62.71133211943504
spies,74.19992340342047
spies,61.6951301959612
spies,68.144507672369
spies,60.83729056906461
spies,69.81430389827985
spies,65.6839556183607
spies,71.1581785708939
spies,66.93167952403937
spies,81.1629977313736
spies,66.50851953737306
spies,66.24124608737033
spies,70.9988036715084
spies,67.53298528565463
spies,94.31771544515514
spies,68.80056779903317
spies,81.29541967051503
spies,65.5149853232929
spies,79.81511524882612
spies,66.80414010976193
spies,85.69820658972627
spies,73.59173541590744
spies,70.22509137209673
spies,79.98376458995371
spies,77.54722476058805
spies,84.27024390007843
spies,71.56306690680857
spies,72.29944038839614
spies,78.94719265710283
spies,71.08097078017695
spies,87.69987764329406
spies,76.6663016954181
spies,68.06748470175462
spies,61.203624013326674
spies,74.30194104441004
spies,68.47172460261679
