x_snowlines,y_snowlines,x_effacement,y_effacement,x_dissection,y_dissection,x_rhomboids,y_rhomboids
3.519,-20.801,-2.012,12.313,7.157,34.174,17.766,27.698
1.526,-45.212,1.186,3.728,-0.248,-17.297,-4.18,28.147
1.631,-39.864,7.057,-62.408,8.18,43.917,-1.333,21.595
8.01,-31.027,1.901,-47.298,4.756,25.709,-0.438,-28.053
-0.448,59.505,-0.497,-38.779,1.261,-28.753,-3.222,-44.124
-4.713,-121.449,-0.074,9.666,-2.68,-6.952,-1.726,-5.725
0.057,47.757,13.604,-114.98,14.769,150.492,1.217,6.218
9.423,-72.071,-15.604,74.503,0.073,2.503,8.297,75.255
-2.906,67.244,4.375,-50.825,-1.469,19.348,-0.466,33.461
0.128,-17.072,4.01,-50.432,0.172,17.431,4.611,32.684
3.484,-36.5,1.821,8.951,4.215,3.462,1.03,-21.071
-1.239,-56.098,-6.051,32.711,-2.81,-19.268,0.029,-13.693
12.563,-69.886,-2.247,-23.522,3.404,15.527,0.117,-12.078
-6.985,108.099,7.799,-68.14,3.683,18.976,-5.621,-46.459
-5.303,46.983,-9.947,52.332,-0.682,2.557,-4.385,-3.926
-0.253,10.709,-0.088,-18.98,8.177,55.425,-1.083,47.252
7.766,-63.818,-3.553,3.522,-1.72,22.65,-1.087,21.113
4.699,23.686,0.632,-23.114,5.313,8.553,-7.009,-17.616
-0.102,51.175,-0.858,1.409,9.616,74.827,6.889,49.957
-1.116,0.96,-0.515,1.03,-6.017,57.638,4.775,109.619
7.657,1.956,-1.032,-11.164,0.437,-8.341,2.894,24.122
0.01,-28.342,1.647,-22.116,-6.23,47.256,-0.593,23.178
-1.426,-12.902,2.433,-8.411,2.82,-12.287,-9.478,24.481
0.015,-23.223,1.111,-14.579,-10.61,103.947,0.378,-11.541
-3.615,90.894,-5.764,53.059,-0.966,-8.216,3.675,22.37
-3.412,-4.163,0.455,37.477,-5.428,36.642,-0.292,22.886
8.017,-5.745,-1.685,13.441,-5.011,41.48,3.531,40.893
-1.61,13.246,5.895,-44.738,0.587,9.071,0.438,30.726
-0.463,-14.717,-3.615,23.149,0.099,15.384,2.637,17.054
-1.237,-19.465,1.919,-10.583,0.398,0.732,-3.8,44.698
-7.4,78.804,-1.465,-25.643,-2.94,2.959,0.998,32.964
-6.255,83.318,3.06,-38.276,2.277,4.454,4.035,16.402
5.524,26.077,-2.39,14.358,4.139,29.191,0.32,92.911
-0.78,-27.479,3.323,-9.16,7.805,67.029,-6.312,-11.688
1.413,-18.0,-0.63,25.896,1.757,2.174,0.025,69.405
0.255,2.934,0.972,-1.912,-7.445,35.484,7.238,24.129
7.034,-40.549,9.673,-28.201,-0.93,-3.301,1.346,30.763
-4.544,26.629,-1.962,16.382,-1.533,-28.71,-1.099,-18.578
4.023,-29.543,-4.561,23.214,-9.543,78.102,-0.537,1.119
1.137,31.907,4.999,-33.381,4.326,-13.306,-9.505,-2.815
-2.992,30.972,2.529,-12.964,-1.861,-5.828,-1.112,38.309
9.985,-24.158,3.907,-27.155,-2.793,-3.595,-13.297,-21.016
1.333,-44.279,-4.341,10.988,0.015,10.471,12.775,19.024
-8.442,13.091,0.615,-22.036,2.332,0.355,-4.901,-12.495
-2.194,-40.139,-0.786,13.257,0.951,4.027,-6.814,-15.285
-1.065,-4.564,4.666,-23.156,-0.637,-11.992,-1.802,32.999
-3.861,120.425,0.078,-32.773,1.139,-22.321,6.36,35.248
8.312,-23.172,11.906,-79.854,1.16,14.166,-11.927,-30.484
3.649,-59.238,-4.391,12.004,3.736,-0.069,-0.663,42.069
4.29,-33.366,-5.619,63.49,-0.132,2.201,7.773,36.932
-0.275,-45.674,-1.003,-0.755,0.718,-29.115,-0.331,3.69
-5.675,57.98,-13.251,48.552,-4.593,21.427,-0.488,60.961
-3.564,-8.425,-0.245,-1.533,3.0,20.853,-20.611,-19.594
11.976,-77.414,-3.277,4.379,-22.606,434.015,6.729,30.47
9.14,-57.579,-12.823,76.079,3.925,6.122,-0.525,60.649
-8.284,88.743,-0.931,-12.113,0.429,3.224,3.681,-18.042
-1.231,28.907,7.215,-44.944,-1.003,-35.187,0.051,87.026
-1.438,22.646,-2.922,24.642,4.47,-7.819,13.636,36.724
-1.192,6.093,-0.018,-12.457,-3.746,25.598,-1.935,-16.6
-0.151,31.426,-0.281,-0.824,-2.318,-0.219,-0.225,29.863
11.074,-82.867,1.951,-15.398,-7.422,10.963,0.266,2.255
-8.635,67.053,-0.918,-12.578,-7.15,55.452,3.428,12.88
-5.305,-12.137,-4.573,6.663,5.233,17.457,-0.662,51.848
-2.365,50.652,5.251,-19.403,5.513,13.024,0.087,13.124
-0.482,42.56,1.811,-12.798,1.461,3.777,11.334,116.745
-7.703,26.789,8.45,-43.593,2.929,-15.694,0.435,62.383
6.252,-112.96,-13.085,77.909,2.306,8.653,-2.326,10.366
1.595,-7.648,-1.272,-15.071,0.701,4.396,0.057,77.461
-14.794,132.042,5.622,13.062,18.022,231.02,2.831,-4.236
-2.254,-16.207,14.689,-87.169,-0.388,-2.472,1.783,-47.057
-1.13,-76.837,-2.07,0.751,-8.152,35.762,-0.905,-7.879
0.485,39.477,-6.949,3.135,0.096,-3.485,-3.324,-5.331
6.638,-70.167,0.041,5.885,1.761,16.764,7.034,25.903
-3.315,39.748,-0.183,-28.524,0.737,-16.732,-8.546,-43.507
4.628,-31.694,6.277,-16.379,4.168,13.974,-3.228,6.731
-0.338,23.262,0.09,-13.905,-9.303,76.419,9.461,61.123
0.047,-3.255,-16.548,63.431,0.632,7.221,-0.254,9.174
0.276,-26.366,2.06,-35.41,-3.148,14.267,-2.494,12.506
1.08,-14.264,-4.054,21.167,-12.934,159.46,-1.224,14.995
9.028,-53.013,-1.68,11.643,1.506,-13.725,-8.402,42.646
0.995,-20.617,0.236,-15.587,-4.905,46.328,3.157,47.674
-3.588,53.008,2.019,2.346,0.744,3.901,-1.564,-7.864
-0.129,-3.319,-0.699,7.665,0.52,11.225,5.718,35.682
4.798,-30.091,-4.254,6.818,8.374,51.785,0.146,15.22
-0.692,36.328,-2.917,4.889,-0.985,-0.161,-7.791,-4.885
1.974,38.787,2.509,-24.414,1.108,-11.324,3.106,-22.989
-10.423,85.911,10.962,-52.344,8.799,36.644,-2.995,30.237
6.818,-79.127,0.259,-13.128,2.617,16.021,-1.014,15.267
-9.783,68.734,0.657,-4.404,6.866,36.923,7.837,60.467
-4.852,142.12,-0.537,-7.94,-4.281,31.931,3.931,22.91
15.509,-53.271,-0.061,5.921,1.031,-22.011,1.817,-18.831
-3.727,-57.551,-3.361,-3.534,2.359,21.594,2.108,15.61
-4.171,18.667,-13.854,111.083,-1.446,-22.411,0.523,23.794
0.249,-62.456,2.781,-39.653,3.441,14.843,3.932,8.067
0.942,27.083,1.003,-7.11,1.627,4.857,0.429,18.022
-4.376,44.24,-8.765,63.296,16.678,217.887,0.036,-10.169
14.678,-114.234,-4.044,47.761,0.618,-22.942,1.03,-3.976
-0.18,9.218,12.383,-87.357,-2.487,-11.465,1.915,84.074
-2.27,41.011,-7.154,34.487,0.765,12.265,-0.786,-4.727
0.086,-14.297,-3.182,1.25,4.127,21.082,-1.63,-22.256
7.601,-56.958,1.45,45.255,2.178,8.437,2.691,44.627
-8.313,52.141,7.244,-14.976,-18.099,281.165,1.569,14.496
-9.665,108.989,5.416,-16.994,-4.68,18.242,-3.852,3.375
-2.49,51.823,4.75,-63.715,2.796,17.191,-3.507,-33.558
0.142,1.7,-5.699,21.312,0.095,21.642,-4.595,16.334
-4.208,15.499,0.941,-3.245,4.467,20.036,14.413,-9.302
8.767,-62.539,3.179,-27.276,-5.796,15.652,-7.079,50.041
-4.446,73.293,-1.06,17.752,-5.19,23.241,0.65,8.639
-0.901,81.646,12.807,-111.626,12.895,112.411,-1.483,19.213
-9.676,4.754,9.994,-82.438,-3.824,67.143,-10.98,15.607
2.234,-50.494,-1.107,-3.082,5.451,-0.782,-0.773,-36.548
-0.851,50.619,0.431,14.729,6.493,50.301,7.329,12.079
1.638,10.959,2.332,-6.501,-12.166,121.924,-5.149,10.806
1.957,-47.8,5.504,-31.995,3.118,15.662,3.783,14.811
6.727,-12.297,14.118,-89.352,6.304,33.805,-3.437,-0.802
-6.223,47.611,6.89,-9.762,-0.727,5.2,5.635,63.067
-1.599,-37.489,-6.364,37.73,-4.749,26.493,-0.409,5.316
-0.248,0.376,11.514,-60.852,1.461,10.59,8.364,45.114
-2.97,49.528,7.033,-69.644,-6.263,35.46,4.025,36.41
-0.995,-17.263,-0.704,-3.094,-0.276,6.698,-0.014,-23.225
4.889,-6.818,-4.686,20.484,15.51,182.451,2.23,46.052
0.4,-45.434,-11.171,50.449,1.961,-5.49,-0.228,3.483
0.662,0.167,0.681,-23.537,0.946,-9.769,-14.323,-47.905
8.123,-73.924,-0.559,-11.862,-6.06,13.489,1.615,36.165
-0.143,31.55,-0.19,4.32,0.521,0.635,-1.185,-20.447
0.258,35.374,-2.125,0.606,1.207,9.068,-4.303,18.305
2.293,-52.786,-1.828,2.664,-1.968,17.154,10.063,58.757
5.224,-41.907,-8.844,55.112,0.05,-13.006,-7.673,11.696
0.899,32.055,-6.044,40.275,2.48,-1.005,-2.941,63.4
1.35,-27.365,15.556,-103.397,3.156,1.071,-1.726,-23.959
9.043,-72.083,-0.077,15.541,2.281,-12.476,-3.178,25.395
-2.244,60.692,2.548,-19.542,5.624,20.735,1.132,2.599
13.117,-34.678,2.257,-21.419,-3.432,14.376,2.026,13.751
-1.056,25.742,6.657,-69.155,1.046,1.861,-1.36,32.68
6.122,-16.631,-2.984,6.716,11.187,89.597,-11.508,21.194
-0.912,25.252,2.297,-38.758,3.452,0.764,-3.88,-63.993
-2.476,10.103,-2.464,28.47,-10.901,126.847,-0.516,24.489
-0.555,-9.771,-0.475,-14.385,-4.308,22.723,0.296,31.363
-5.798,78.323,-4.263,37.409,0.991,-4.654,-3.856,32.556
-0.675,-3.446,1.305,-7.706,7.978,72.696,4.972,-23.501
14.003,-123.127,6.158,-45.984,4.063,15.444,4.17,37.036
5.269,-72.064,3.825,-16.941,-0.442,-15.026,-5.859,6.902
-0.085,18.464,5.088,-25.223,2.146,17.713,1.393,18.348
-6.799,3.635,10.127,-60.735,-0.576,15.073,1.213,16.966
-8.057,96.343,2.006,-29.881,-0.039,4.195,0.182,-55.334
2.199,-49.105,8.643,-59.344,-0.214,-9.18,2.932,40.899
-0.761,3.247,-2.883,-0.636,4.157,4.611,6.125,31.193
9.943,-90.075,-2.41,10.719,10.845,85.544,1.195,9.146
-5.092,73.16,0.309,3.289,-3.541,0.983,4.324,19.36
-0.186,8.747,-4.002,5.891,-1.298,18.842,-0.472,20.167
-1.924,-24.425,0.677,3.044,2.292,-14.859,6.391,17.546
-2.472,-4.046,-3.547,-7.868,-3.282,15.858,-2.862,15.544
4.225,41.591,0.039,6.133,-0.075,-1.905,12.826,14.656
-0.055,-0.6,4.825,-47.716,3.241,4.428,13.218,14.58
4.991,-51.295,3.63,-20.777,0.828,2.482,0.029,25.721
-0.456,-28.187,-6.691,35.778,-9.892,81.499,0.001,-49.384
1.476,-68.818,-7.36,14.738,2.298,3.495,14.579,8.168
-0.391,-9.652,2.422,-39.256,0.92,2.428,-0.866,-11.774
-3.549,-23.757,1.868,-7.365,-4.563,31.866,1.43,24.362
-1.582,-12.586,-1.36,-19.026,0.345,9.323,-1.403,38.756
-0.176,-26.813,3.95,-36.027,-0.075,-28.648,1.834,-12.422
1.875,-55.789,-1.211,-22.497,0.961,4.325,-7.516,29.363
-16.113,98.017,-0.941,-18.113,-7.623,27.549,-6.681,-24.981
-0.798,24.679,-1.032,36.675,12.619,108.357,-19.282,0.373
0.239,13.769,-4.324,25.788,-0.323,12.194,-3.933,2.82
-3.814,22.478,-3.048,24.926,0.673,-5.673,3.432,-10.028
2.907,14.124,-3.056,16.908,3.089,0.259,1.29,29.887
-0.335,30.306,2.271,-23.607,25.705,527.836,-7.02,86.845
-2.818,6.446,0.233,-20.328,-0.472,-6.867,-1.751,14.418
1.664,36.84,-1.902,1.406,6.187,11.76,-0.659,-9.193
3.828,-86.979,2.056,-0.529,3.988,6.57,11.601,31.089
-4.406,6.1,-1.439,-21.617,15.28,179.102,0.092,31.923
2.336,-51.752,2.698,-5.532,0.39,-24.888,-4.513,-26.909
2.0,-44.009,-1.692,3.64,11.501,102.716,13.999,106.152
-3.628,34.681,-8.065,56.808,-2.139,18.263,-0.114,36.846
0.428,-74.165,-0.016,-14.099,4.744,4.454,-4.021,24.025
-0.556,3.015,6.889,-66.572,-12.069,117.311,2.66,47.622
1.272,1.086,1.455,-31.695,1.268,-35.518,15.276,75.268
-6.95,35.487,1.349,-5.662,0.072,30.761,-8.358,-43.228
0.332,-45.41,3.032,-45.631,-0.175,-13.383,11.376,6.514
0.949,2.658,0.02,-6.068,-3.584,19.372,2.022,-36.461
-2.0,62.087,0.751,-8.185,-3.49,26.216,-5.099,-0.756
-2.974,-37.099,-9.939,39.589,1.536,3.92,11.238,16.625
-1.58,77.747,1.276,-3.655,-5.687,26.33,-3.428,17.552
-9.236,93.105,-9.003,48.391,-2.821,-9.147,7.187,-62.805
0.178,34.718,0.205,-2.872,15.454,226.937,1.069,-0.971
-8.114,16.405,2.38,-2.674,-2.752,25.074,-3.097,23.114
2.692,-71.577,-6.346,13.201,3.025,18.013,-3.226,-22.107
-2.208,-59.302,-13.254,69.369,-2.588,15.995,0.553,-43.282
-0.389,39.01,2.849,-11.499,9.021,56.485,4.685,21.786
-1.529,23.341,-0.147,-2.478,-0.275,-2.527,15.751,55.48
0.508,-47.899,6.077,-54.627,2.701,-0.31,6.465,-5.1
19.291,-116.314,0.581,-11.449,0.409,19.372,-0.367,15.27
-6.019,3.799,2.955,-50.661,4.555,19.299,7.209,28.865
-1.687,46.668,-11.646,84.931,2.879,7.784,0.566,14.439
1.16,-7.413,-4.358,21.319,10.815,82.152,6.736,40.033
-3.21,29.06,-9.719,49.217,1.022,-13.224,-3.723,5.482
-2.67,15.059,-7.663,14.622,13.365,128.355,8.397,75.54
5.239,-7.015,3.019,-17.946,-1.392,-8.702,-1.998,27.634
7.548,-40.092,-10.876,73.924,0.866,-17.722,2.863,-24.188
4.772,-31.093,0.005,-9.06,0.035,1.321,11.162,18.912
-4.462,29.769,2.925,-41.827,-6.873,30.306,3.524,39.307
-2.551,12.572,1.25,-9.931,19.912,288.696,1.2,55.712
-3.683,46.006,0.205,2.376,2.236,11.092,-6.982,-21.887
-3.414,-44.779,-5.5,18.884,-3.704,6.631,-1.502,-13.053
0.637,-7.141,3.562,-42.3,6.846,27.391,3.661,-2.92
-3.475,9.01,14.815,-98.034,-5.435,30.761,4.652,-26.053
0.682,71.457,-4.156,15.142,-14.612,180.609,-7.439,25.415
0.113,23.729,4.005,-22.858,1.708,-4.808,0.478,51.111
0.281,27.74,5.2,-40.016,-3.493,-13.111,1.007,24.899
-7.263,88.893,0.348,8.792,1.09,-3.156,8.552,27.161
-0.588,-21.208,-4.191,31.346,-0.027,-5.068,-0.806,28.51
3.859,-40.518,-0.761,-23.562,4.113,33.038,-2.41,-54.038
-5.312,61.57,3.0,-13.812,3.348,12.481,-1.392,9.09
0.045,-28.511,-8.163,38.423,10.745,102.249,0.083,55.685
5.312,-12.8,0.089,0.088,7.464,15.887,-6.924,-18.066
1.441,47.464,-3.697,13.863,-8.338,62.239,-14.02,-45.269
0.68,0.501,12.308,-84.8,-0.599,-3.904,-3.039,65.432
2.286,14.419,0.238,-33.28,2.006,-6.483,5.829,36.371
-18.902,134.209,-4.652,16.717,-5.215,19.958,-2.193,38.911
-3.478,-19.961,-1.492,23.581,5.208,-7.191,0.557,8.437
11.542,-70.237,1.171,-6.239,-3.475,-6.17,-3.223,5.977
-0.688,37.279,0.138,-18.635,-5.474,21.993,-3.203,60.65
-10.262,62.758,2.304,-7.693,-0.645,-27.645,0.827,68.283
0.576,-43.364,-4.085,29.473,-2.177,-0.186,-3.556,-52.471
-1.947,16.057,-0.584,10.037,-5.179,0.977,2.673,-20.999
0.403,-12.886,-3.207,-7.957,-5.209,24.981,-18.927,-51.624
-0.445,-11.101,-0.01,10.128,-1.416,1.412,2.649,77.108
0.902,-31.38,10.385,-63.315,0.251,10.686,1.079,-4.485
