caramelisation,streptothricin
augment,25.31112423657717
augment,30.840453937860026
augment,28.718776496895394
augment,25.429900459315103
augment,27.068923912409385
augment,26.003504617216578
augment,30.592425558610476
augment,30.047757507694815
augment,32.47095724659688
augment,33.78907545788354
augment,27.3830944465977
augment,33.158715460567194
augment,29.933084488672115
augment,31.388241608511304
augment,30.24393583912301
augment,30.12730477430009
augment,30.23831212907522
augment,25.383884731813776
augment,29.460838741960867
augment,31.57668993610341
augment,31.42280468235706
augment,36.041107528725604
augment,27.0809193252849
augment,29.219512630633798
augment,30.579785720173284
augment,27.19427397055647
augment,31.337917193554723
augment,30.117313811093485
augment,24.15955694304708
augment,27.05011112003802
augment,23.483165413826022
augment,27.362223104410493
augment,29.20108775937115
augment,28.17404025277657
augment,31.407139531240993
augment,29.905612986722836
augment,25.548447641756006
augment,31.8705964180822
augment,27.943448835378504
augment,24.938047660039363
augment,28.523277617201572
augment,29.393122864909888
augment,26.26512106141334
augment,27.91800880372371
augment,31.98851112652252
augment,29.67590054825611
augment,32.40327503379221
augment,25.428941521939237
augment,31.71749678646614
augment,29.84396153212197
augment,30.257290665364042
augment,28.27338263630132
augment,30.408107886905576
augment,28.284626306192585
augment,25.919663339338747
augment,31.54801990292763
augment,30.335309594610123
augment,27.072294024994125
augment,29.771812341635574
augment,27.297766568492754
augment,28.4501227959249
augment,27.70908142094261
augment,28.913013398851778
augment,26.698538267770793
augment,27.36318471152668
augment,30.679055023434305
augment,22.205646625094722
augment,26.04376291815959
augment,31.425968398004294
augment,27.015018228148605
augment,29.983363682025338
augment,32.18714076223312
augment,28.992784551180947
augment,28.354657211812228
augment,27.070748171409114
augment,30.638672074467028
augment,27.641754344711828
augment,28.506637490026712
augment,26.466502014624712
augment,25.783102759590864
augment,33.63282719135365
augment,33.56956693659654
augment,33.729729827887624
augment,28.153426386794507
augment,32.798865308480394
augment,27.394063516267106
augment,25.84312607460926
augment,27.147986602484167
augment,29.34617017026349
augment,27.144385895602074
augment,29.29033474731134
