snowlines,caramelisation
dissection,-0.8454553719666866
dissection,-0.8375151195225364
dissection,-0.8271372541550341
dissection,-0.8256851934612549
dissection,-0.8191323861350825
dissection,-0.8010463477672918
dissection,-0.7478702963469632
dissection,-0.7289767679793996
dissection,-0.6143281315578636
dissection,-0.6025556966832857
dissection,-0.388160018225404
dissection,-0.23691360279275858
dissection,-0.2347959599350427
dissection,-0.22884988658984118
dissection,-0.21873814357015053
dissection,0.08376571259425322
dissection,0.1330497332631335
dissection,0.22792239043852264
dissection,0.3168431970789193
dissection,0.6636148470411598
dissection,0.6869905415836381
dissection,0.7176089350310534
dissection,0.7730993833155094
dissection,0.8304346879972914
dissection,0.956811138362496
dissection,1.478357592695903
dissection,1.4965828057212025
dissection,1.6575827849452145
dissection,1.7815954331765624
dissection,1.8555367386847104
dissection,2.1537750676299794
dissection,2.241208063659825
dissection,2.2854073814264866
dissection,2.374913134672337
dissection,2.4878829915226786
dissection,2.4973798312562043
dissection,2.679785382636904
dissection,3.1530352320043167
dissection,3.3037591306247793
dissection,3.718496432128346
dissection,3.7484884278800084
dissection,3.885837490033022
dissection,4.240568470503107
dissection,4.565781921870349
dissection,5.079533876074816
dissection,5.160849789238234
dissection,5.283446363879162
dissection,5.566428307369229
dissection,5.668090963370693
dissection,5.69997497201906
dissection,5.738999289480852
dissection,5.8424111674197725
dissection,5.922654511586203
dissection,6.0770503020444275
dissection,6.722983820806029
dissection,7.191715017141714
dissection,8.232063633533338
dissection,8.824150623498927
dissection,9.34967496465944
dissection,11.361758048679354
lungers,-1.2704864445304698
lungers,-1.1067811051125174
lungers,-1.059259227985975
lungers,-0.9649902172822501
lungers,-0.9439263714524292
lungers,-0.8986180389239604
lungers,-0.878435501474438
lungers,-0.8780279050447662
lungers,-0.8772387567584415
lungers,-0.8620452375624642
lungers,-0.8402988688949065
lungers,-0.7864169498294259
lungers,-0.7640024415226465
lungers,-0.7362349084121812
lungers,-0.7120097914438283
lungers,-0.6999567356292328
lungers,-0.6756430467974996
lungers,-0.6684490343804124
lungers,-0.6380299492835374
lungers,-0.6249217875593012
lungers,-0.5797101543899958
lungers,-0.5549361277804291
lungers,-0.5306555798601141
lungers,-0.5285010616305331
lungers,-0.5166884723407766
lungers,-0.5162978163412951
lungers,-0.5057659413761237
lungers,-0.5017855836499131
lungers,-0.4948018615397478
lungers,-0.41610007569093393
lungers,-0.4058471641376008
lungers,-0.392780110991988
lungers,-0.341272909104111
lungers,-0.33345663869660275
lungers,-0.32587548424151863
lungers,-0.3178863407305299
lungers,-0.31571503751187635
lungers,-0.29865830095551466
lungers,-0.2134060381395268
lungers,-0.2122882610637445
lungers,-0.18695583377720576
lungers,-0.1599153040108304
lungers,-0.1538469426319333
lungers,-0.1480831823049367
lungers,-0.14345900074314163
lungers,-0.13631887486874578
lungers,-0.1359190347222781
lungers,-0.10252521189585614
lungers,-0.08735846155899626
lungers,-0.06932725662615202
lungers,-0.05879750708866391
lungers,-0.05550671559206509
lungers,-0.024857124416480556
lungers,-0.01402270947540577
lungers,-0.009876196193966272
lungers,0.02331151270462531
lungers,0.02344389067603886
lungers,0.025139930116947963
lungers,0.039684640356606266
lungers,0.04039204097024643
lungers,0.06376208095201716
lungers,0.08482670229970402
lungers,0.09224822866272077
lungers,0.09568044123530114
lungers,0.09780253124572538
lungers,0.10879758129649705
lungers,0.11740823029979769
lungers,0.14825063833703928
lungers,0.1515692842812261
lungers,0.15274757267199401
lungers,0.1735843816630184
lungers,0.17739550552288003
lungers,0.1896971986485178
lungers,0.1923328104881806
lungers,0.21265666494091853
lungers,0.22212591776866972
lungers,0.23571887475328476
lungers,0.23809246558763297
lungers,0.28809142526283793
lungers,0.3245581867449251
lungers,0.3477406337420953
lungers,0.3495103652070663
lungers,0.35295725709538434
lungers,0.3812975737160073
lungers,0.3831970638878877
lungers,0.4194836828030953
lungers,0.43000020372698033
lungers,0.47072291023829915
lungers,0.4838398355490382
lungers,0.5156756715265567
lungers,0.5472267946148561
lungers,0.598965702891247
lungers,0.6236893750399138
lungers,0.6465522096998029
lungers,0.6798849834582403
lungers,0.7019082372844555
lungers,0.7130028870740138
lungers,0.7286254297702117
lungers,0.7521899890039452
lungers,0.8554212027532947
lungers,0.9128335637405622
lungers,0.9190494515285249
lungers,0.9372930685989076
lungers,1.0035164063195618
lungers,1.164880224864879
lungers,1.3571223370981438
azithromycin,-2.099740847155851
azithromycin,-1.5102485436102095
azithromycin,-1.3482337391919679
azithromycin,-1.3396999391717626
azithromycin,-1.2838330773077866
azithromycin,-1.2146473954957742
azithromycin,-1.1679906823598278
azithromycin,-1.121035664089528
azithromycin,-1.0505661296829003
azithromycin,-0.9888056518792046
azithromycin,-0.932771399374181
azithromycin,-0.8205081429563869
azithromycin,-0.7843242145943013
azithromycin,-0.743504953783592
azithromycin,-0.7382211632463008
azithromycin,-0.5542744173670439
azithromycin,-0.5475435931146199
azithromycin,-0.5423625535097265
azithromycin,-0.5247729569671976
azithromycin,-0.5233060541123596
azithromycin,-0.5162963193219009
azithromycin,-0.5087725946509317
azithromycin,-0.5021546280844138
azithromycin,-0.3705717867226892
azithromycin,-0.35777693977097647
azithromycin,-0.3545780875167626
azithromycin,-0.3315109963880782
azithromycin,-0.3311313096362808
azithromycin,-0.3112938273146217
azithromycin,-0.22644662313841524
azithromycin,-0.16767327031424953
azithromycin,-0.16733623731753913
azithromycin,-0.14933745546905178
azithromycin,-0.14396512404090558
azithromycin,-0.12985215583355095
azithromycin,-0.1266677683351358
azithromycin,-0.0814051882981222
azithromycin,-0.059593755048007055
azithromycin,-0.013408619747611192
azithromycin,0.016988066102625893
azithromycin,0.02743438668443422
azithromycin,0.046279334654287546
azithromycin,0.06266431238380807
azithromycin,0.06498837465223922
azithromycin,0.0684869089861166
azithromycin,0.07877777004315277
azithromycin,0.08845474447037335
azithromycin,0.09416109613936384
azithromycin,0.15406091716101306
azithromycin,0.20167149262158557
azithromycin,0.20961063726736814
azithromycin,0.21337425864825763
azithromycin,0.2162556082247486
azithromycin,0.21823251435085378
azithromycin,0.23947060179932825
azithromycin,0.2398273354711721
azithromycin,0.24151026083792085
azithromycin,0.24198541054380338
azithromycin,0.2469659050022555
azithromycin,0.2721141294156168
azithromycin,0.32443359240100544
azithromycin,0.34692137856951455
azithromycin,0.3518444049120239
azithromycin,0.3713670135239266
azithromycin,0.3951005241611178
azithromycin,0.4095509494866639
azithromycin,0.41057593066472026
azithromycin,0.4129186663441454
azithromycin,0.4389045049292669
azithromycin,0.4424836522979952
azithromycin,0.5029590939041412
azithromycin,0.5611021941308977
azithromycin,0.5656713823940099
azithromycin,0.5755811840969219
azithromycin,0.5913809108976659
azithromycin,0.6016103542738227
azithromycin,0.6046233517541609
azithromycin,0.6083390276674371
azithromycin,0.6233567604196852
azithromycin,0.6593878933358923
azithromycin,0.6761398613481528
azithromycin,0.6894450495667507
azithromycin,0.6953200690588923
azithromycin,0.711917848455093
azithromycin,0.7348443781690268
azithromycin,0.7412970009757817
azithromycin,0.76643743985578
azithromycin,0.7740291046068002
azithromycin,0.7854436268675757
azithromycin,0.9117787228024549
azithromycin,0.950808743722564
azithromycin,0.9695908771453515
azithromycin,0.9801427824068487
azithromycin,0.9816023940928988
azithromycin,1.000933043869006
azithromycin,1.1382592354098167
azithromycin,1.1846892229914188
azithromycin,1.1972169781642186
azithromycin,1.2154352142130904
azithromycin,1.2368114847120524
azithromycin,1.2595281478678415
azithromycin,1.4077181282190012
azithromycin,1.40935480460105
azithromycin,1.4563209010625222
azithromycin,1.5437490399244558
azithromycin,1.7238133651035932
azithromycin,2.0809821873463203
