cytopenias,effacement
snowlines,0.9788343965061745
snowlines,1.0212723389322917
snowlines,1.1270487922498709
snowlines,1.2554428540380358
snowlines,1.309382010531508
snowlines,1.5790089884864773
snowlines,1.6549933674426172
snowlines,1.7818344381677085
snowlines,1.9510746676103603
snowlines,2.1438818935489925
snowlines,2.2147505659816766
snowlines,2.274793565137648
snowlines,2.387465279073217
snowlines,2.4879984195474214
snowlines,2.6135914805681746
snowlines,2.7263134865459393
snowlines,2.7900883553825877
snowlines,2.9364513441282036
snowlines,2.981908410691063
snowlines,3.007190825375261
snowlines,3.0727415225064934
snowlines,3.132208552325385
snowlines,3.1637613399386595
snowlines,3.168118712932958
snowlines,3.300658463557571
snowlines,3.405232333404542
rhomboids,-21.484544886557398
rhomboids,-14.970090156098395
rhomboids,-13.577474899459043
rhomboids,-12.425710015715913
rhomboids,-11.004970294968563
rhomboids,-9.405502329622518
rhomboids,-9.213222261358878
rhomboids,-8.807007448857949
rhomboids,-8.738082122985206
rhomboids,-8.314255414065448
rhomboids,-8.094099980697695
rhomboids,-7.406972425484074
rhomboids,-7.329587331490059
rhomboids,-7.312941622358044
rhomboids,-7.283260543447459
rhomboids,-7.28069733867134
rhomboids,-7.0238904144852965
rhomboids,-6.967624556309031
rhomboids,-6.931763973403158
rhomboids,-6.231812742267393
rhomboids,-5.780490312313248
rhomboids,-5.575469027021113
rhomboids,-5.201797668877406
rhomboids,-5.123056512936082
rhomboids,-4.734895821398061
rhomboids,-4.677589213188974
rhomboids,-4.6157133378364055
rhomboids,-4.013176114730245
rhomboids,-3.9983685413398806
rhomboids,-3.9950742307823437
rhomboids,-3.826322097353714
rhomboids,-3.8055454485645983
rhomboids,-3.6303081523869705
rhomboids,-3.5663660854335086
rhomboids,-3.0150850697605076
rhomboids,-2.9289574887701297
rhomboids,-2.677399599852839
rhomboids,-2.660306216353856
rhomboids,-2.496350899940604
rhomboids,-2.2545548278924477
rhomboids,-2.2421368489616857
rhomboids,-2.1340231714259987
rhomboids,-2.0785664090018563
rhomboids,-1.730940412329054
rhomboids,-1.6955596428611437
rhomboids,-1.6535493965333143
rhomboids,-1.6066642076625925
rhomboids,-1.410008087646432
rhomboids,-1.3690175207868716
rhomboids,-1.0338869797670436
rhomboids,-1.0201361638845436
rhomboids,-0.7957381987015392
rhomboids,-0.5966381248870751
rhomboids,-0.526259585930855
rhomboids,-0.4167283726170372
rhomboids,0.10213043678504537
rhomboids,0.17731921882684495
rhomboids,0.4470109434820322
rhomboids,0.8308337021768174
rhomboids,0.879946798431295
rhomboids,1.1802243117930582
rhomboids,1.2469922136645026
rhomboids,1.3390513609544548
rhomboids,1.8014251686632794
rhomboids,2.0981660536829763
rhomboids,2.4102800243795572
rhomboids,2.4393395825604047
rhomboids,2.5770410993276474
rhomboids,2.8986657465667194
rhomboids,2.9513216012616867
rhomboids,3.266837694638907
rhomboids,3.6107516728635147
rhomboids,3.8367565944060873
rhomboids,4.192075214730101
rhomboids,4.423664610585803
rhomboids,4.6779709529931806
rhomboids,5.191244162534786
rhomboids,5.224194708949943
rhomboids,5.839774598643532
rhomboids,6.361881826104038
rhomboids,6.540479350866998
rhomboids,7.065877975028616
rhomboids,7.13595146857125
rhomboids,7.424200353474896
rhomboids,7.716680902690393
rhomboids,7.7688094915911226
rhomboids,8.138077798935367
rhomboids,8.452085151664855
rhomboids,8.630817615854617
rhomboids,8.780316232997519
rhomboids,8.896406557672755
rhomboids,9.309661707125228
rhomboids,9.88560575279565
rhomboids,9.990364755421856
rhomboids,10.321845560385475
rhomboids,10.350534831619116
rhomboids,11.059776207231057
rhomboids,11.45192624781883
rhomboids,12.042883613960703
rhomboids,13.225098657724288
rhomboids,13.515648899911197
rhomboids,15.091753652102204
rhomboids,15.997393337428612
rhomboids,16.29055760046786
caramelisation,-12.246305017196827
caramelisation,-11.157536098466265
caramelisation,-10.506114531390354
caramelisation,-10.43839204098705
caramelisation,-9.168577157227794
caramelisation,-8.768817890420824
caramelisation,-8.159339507446008
caramelisation,-8.004898057372909
caramelisation,-7.996547239782646
caramelisation,-7.456038763469978
caramelisation,-7.450316957949194
caramelisation,-7.206155655738276
caramelisation,-6.4643431526176665
caramelisation,-6.247051242245903
caramelisation,-5.450225565151801
caramelisation,-5.231708459631094
caramelisation,-4.781013259483761
caramelisation,-4.76627212315263
caramelisation,-4.711633660179572
caramelisation,-4.425585268708638
caramelisation,-4.215639944054969
caramelisation,-4.166864083701425
caramelisation,-4.142596092077801
caramelisation,-4.0547940280335855
caramelisation,-3.8180482264082127
caramelisation,-3.8146280174217964
caramelisation,-3.7081230552440525
caramelisation,-3.6231981718234487
caramelisation,-3.6029566275516474
caramelisation,-3.493891990930006
caramelisation,-3.334551835551651
caramelisation,-2.879282819314216
caramelisation,-2.865645892013468
caramelisation,-2.8037930640909483
caramelisation,-2.5205892611310965
caramelisation,-2.4083540765457356
caramelisation,-2.323563461009651
caramelisation,-2.2974388874614964
caramelisation,-2.1524129971097263
caramelisation,-1.9248318495873884
caramelisation,-1.8785725531030018
caramelisation,-1.7980544409603796
caramelisation,-1.6920130083944693
caramelisation,-1.2986728867836326
caramelisation,-1.2886392792564376
caramelisation,-1.2094078587886183
caramelisation,-1.189032429831983
caramelisation,-1.1138887424548118
caramelisation,-1.0557705062382832
caramelisation,-0.2607460271790943
caramelisation,-0.1086247149274244
caramelisation,-0.003394493002349423
caramelisation,0.09183182929441801
caramelisation,0.47937965862858317
caramelisation,0.6554541664548651
caramelisation,0.8168497868035187
caramelisation,1.1988612682135464
caramelisation,1.2442693050753006
caramelisation,1.389869301154414
caramelisation,1.480842829350789
caramelisation,1.4920075295872208
caramelisation,1.612013653489601
caramelisation,1.672141171182104
caramelisation,1.7423203597538668
caramelisation,1.870366003538817
caramelisation,2.273346215758501
caramelisation,2.647976979983023
caramelisation,2.7514307131284097
caramelisation,2.759819887950452
caramelisation,3.0271389841819536
caramelisation,3.1326040673771858
caramelisation,3.2047552037410796
caramelisation,3.488097361108817
caramelisation,3.4965859421070347
caramelisation,4.0040087613833535
caramelisation,4.07889289387641
caramelisation,4.372079755922386
caramelisation,4.388030408903325
caramelisation,4.751716027672533
caramelisation,4.784047184076726
caramelisation,5.241111078878752
caramelisation,5.330238468333212
caramelisation,5.447542628707634
caramelisation,5.725623105096033
caramelisation,5.793749077753908
caramelisation,5.8922745907040355
caramelisation,7.153568791262686
caramelisation,7.317287994616763
caramelisation,8.613711522630565
caramelisation,8.771580304620906
caramelisation,8.834245047364085
caramelisation,8.98162625848881
caramelisation,9.275195134299132
caramelisation,9.477484464224187
caramelisation,9.58157038767632
caramelisation,9.673113193291085
caramelisation,10.288534588988119
caramelisation,10.530607942336355
caramelisation,11.073924844346843
caramelisation,11.680430808018764
caramelisation,11.745633177306944
caramelisation,14.587403432028488
caramelisation,14.641500783465247
caramelisation,15.036420486465191
