x_rhomboids,y_rhomboids,x_substitutes,y_substitutes,x_mastiffs,y_mastiffs,x_spies,y_spies
0.696,-9.210920154470212,1.71,-7.745,-2.369,5.716050903344451,8.057,-10.811
-7.093,-1.9357953948220974,7.337,-21.872,-4.542,-1.5880075664410542,-6.144,33.01
8.54,36.56584748896672,6.632,-10.906,2.423,5.674798949263151,0.206,16.294
0.857,-7.184070470136849,1.279,-10.606,4.613,-0.3865432701503222,3.254,4.283
8.095,-0.7317275816596993,-3.577,-8.885,0.253,-8.80541210347948,6.218,-3.223
12.981,-7.442091877829693,0.759,-19.749,-15.443,-1.1705752580325646,1.233,11.972
-4.85,6.654979694488297,-0.305,-12.923,-0.543,12.123895030683302,0.009,15.842
-8.994,-4.074830563613915,8.869,-15.849,-5.01,2.2569981615500945,-0.988,16.489
-8.813,5.780501627345625,4.306,-14.083,5.703,7.917314320180356,20.985,-45.982
-8.315,13.824485412352866,-4.889,-11.903,5.717,-2.756204735603104,4.22,5.184
-6.042,-12.142690775178465,2.746,-23.636,2.103,7.960823597737392,1.967,11.776
3.547,-36.51257250606646,-0.257,-17.272,-10.815,17.588234829517532,-1.365,18.949
2.7,18.069330103970085,-15.242,-0.702,4.502,-3.353317634067578,-0.891,18.274
-7.099,23.573823773070522,-0.635,-16.501,-7.883,-28.772185963111625,-2.722,23.417
-4.005,7.187422482052231,-2.449,-18.189,4.596,-57.016463061106975,-0.52,19.919
-5.575,-9.455659427431936,-0.459,-12.3,-6.588,10.291283454711591,-0.18,18.326
-5.487,51.07577532678705,13.748,-17.793,0.873,-13.522886498984777,4.197,4.707
5.17,-25.211396664194766,2.279,-15.718,-3.433,3.5714147793925033,0.011,14.242
-1.779,9.206811109471065,-0.101,-9.917,-0.892,-3.1454869571909843,-2.986,24.552
0.282,4.443533941957265,15.057,-22.684,7.216,-6.83427580438812,6.462,-4.269
-1.231,21.39688537914222,0.171,-16.597,-2.973,-23.609022017831517,-0.537,16.651
-14.248,19.854303687335072,-10.532,-7.076,0.1,22.063749535747284,1.284,15.078
4.802,-3.051502144503,-5.97,-9.564,1.116,-13.63826785125354,-4.239,27.282
1.133,-9.565743391282425,-13.521,-4.368,-0.732,-12.538458845053633,9.763,-14.965
10.849,-20.987799785169727,2.977,-22.869,-3.667,-19.157869388816934,-6.659,36.584
1.176,-34.6379172587135,-0.06,-15.672,2.234,4.2289033317683336,-1.386,21.163
-1.146,41.62823715058237,-8.254,-8.901,-1.932,-14.598718902901151,3.535,7.341
0.007,2.5353377674961273,11.144,-20.194,11.092,9.980143675059727,-1.526,18.132
9.577,17.451699460780453,-1.448,-0.013,-1.233,-28.293186377676193,0.945,15.32
3.629,10.114494603758878,6.493,-21.208,8.625,-8.46337913681814,-0.157,15.309
0.313,-44.27473080580482,-2.361,-7.293,0.86,10.561595538789895,-0.698,20.814
-12.249,22.272508372463797,3.642,-17.547,-0.292,8.660792914102341,-1.935,20.04
-1.224,6.183467524926437,1.211,-17.133,1.617,7.751704470765163,-3.206,25.92
-0.631,-23.85271297920277,1.916,-2.998,1.546,21.35048530923212,-0.239,16.954
-1.829,-2.294881288163112,0.064,-11.032,-4.632,11.74004710460428,-1.675,20.766
-0.807,14.133756984461634,-12.136,11.379,1.517,4.685142438488601,-8.261,40.3
-0.836,-33.95157909444117,-4.117,-5.039,-2.926,17.99560192567177,-1.387,17.951
-1.168,50.80703650455791,8.238,-13.413,-1.661,-22.476449327381697,-0.136,15.98
1.736,51.69094904564256,5.046,-9.026,1.066,4.550881479057825,11.86,-21.237
-1.3,25.341846197593647,1.836,-18.84,4.823,-6.1433502608380115,1.92,10.757
0.329,-21.854691781231793,-0.197,-13.02,1.314,-11.362209649622372,2.081,10.661
1.739,19.93802667106386,3.214,-18.298,18.507,-3.9246512168396888,0.556,13.845
-5.565,12.675409505200642,0.022,-10.129,-1.529,11.482256170153287,0.239,13.518
1.176,9.790631928937861,-8.06,-6.215,3.177,10.735037950960457,0.019,15.187
-13.588,25.525458840633803,4.744,-7.983,-4.903,5.231828577685532,9.511,-11.466
4.575,-15.626911985347125,9.161,-9.977,-10.855,8.733716906782005,3.34,2.206
-0.745,16.499388669659528,0.737,-6.585,-1.856,-1.897627701332052,-0.092,18.024
0.216,-21.143323724443825,-3.341,-8.178,-2.376,-24.42285696731679,3.442,5.657
9.411,10.70045058393453,3.794,-11.934,-4.007,1.2660572454234253,5.237,-2.042
5.437,43.14559537946639,-9.959,2.626,2.671,1.863976379849551,2.828,10.794
1.634,-2.693547768445755,4.244,-8.297,-0.076,13.066770810896873,-25.527,95.229
-0.036,33.47146716692699,6.575,-16.535,-4.84,0.3980521349810058,-0.233,18.811
-0.589,-45.33984489405195,-3.961,-10.212,-3.437,-11.310226352258145,2.126,7.73
-1.103,-26.837739827897447,2.553,-3.331,10.791,-23.69454354681883,1.48,7.892
0.666,10.917087283158784,4.057,-23.989,-11.458,29.17684120559968,1.199,10.073
0.01,20.788356124342922,2.685,-19.065,-4.793,-8.120164195035052,0.409,14.56
-3.847,-6.832323649312376,2.547,-13.044,-10.619,2.6662358956956327,-4.749,31.131
-7.03,-39.9442436053211,-3.053,-0.868,1.565,7.516914522019393,2.804,10.151
1.431,-45.88669705322741,4.899,-10.384,3.453,19.0617095318269,1.237,12.285
-0.435,-24.703349387897262,-1.434,-5.599,-6.992,-6.466373440516863,-6.223,36.3
0.157,-0.7897263215654053,4.159,-15.79,-3.881,23.661339435528067,-16.403,64.977
-1.106,-12.07511570338466,6.451,-16.193,0.448,21.9576271889639,-0.566,16.441
-7.594,19.649071839023577,14.081,-30.216,-6.015,-14.636970096527008,-6.802,35.598
-0.768,-42.29746718720035,10.766,-17.182,-3.226,17.267073900397225,1.253,10.754
3.434,42.657682201460304,2.43,-6.355,11.3,-21.19383996114613,-1.922,19.843
10.054,23.000206460712903,-8.333,0.067,0.422,2.524882348151554,0.016,15.948
-11.919,-34.5077461842711,0.704,-17.346,-0.145,-6.039782192147104,-0.032,15.11
-11.911,-21.913405151458804,-2.904,-6.232,6.872,-0.7625458596167496,6.289,-5.012
-10.931,42.47044505651155,10.285,-18.137,4.802,2.2105202568985773,-20.007,73.602
3.233,33.01205588468098,-1.105,-17.487,-1.987,-12.557453233781185,-1.342,18.252
-6.377,15.635257805204725,3.216,-18.95,2.479,12.791645344683634,12.043,-18.97
-2.96,23.015454171040023,-3.625,-5.452,0.688,5.378330960613807,1.59,11.754
-1.02,6.856588740912373,2.248,-9.767,-0.724,16.115371007741654,3.173,7.692
-0.099,-14.971462692043582,-1.959,-9.565,0.666,0.621051417486014,2.423,6.249
-7.985,-9.55778602608767,4.492,-10.1,2.031,20.84236771690012,1.115,14.505
-5.327,34.46119169384526,-7.278,-4.622,-1.341,-3.0064738603320564,-6.243,36.143
19.851,10.47059338205532,-1.165,-5.082,-1.933,-22.134654626863437,0.471,12.216
0.216,-22.617006448085217,-3.294,-9.559,0.849,15.936655714995894,-1.093,19.933
0.654,-23.578587098378705,2.528,-10.899,-0.033,-13.583679084901487,0.539,13.366
-7.111,34.03072832219338,5.129,-13.124,2.154,-5.533817949148823,-1.394,20.25
-7.722,12.611243051400415,4.8,-11.107,6.059,-23.597420393774073,5.747,-4.3
-2.517,19.233263546823217,-11.131,-2.382,-10.085,-1.9802023466148166,-2.69,25.541
6.588,-69.70288985218667,-2.348,-12.221,-0.053,6.022214157061416,-7.357,38.235
4.321,-55.59856510118855,-1.365,-9.143,-2.401,-22.254833888745768,-4.578,32.31
-0.008,43.86312552929042,-8.053,-7.633,-6.369,3.722158784711673,-9.922,45.925
10.894,-20.753750880929157,-9.264,2.577,-0.22,-1.6520447714108246,3.198,5.359
1.122,5.312430660556657,-4.057,-11.418,11.181,-0.052306983878982916,-2.27,21.915
-10.102,53.8352483833732,-2.082,-13.491,1.323,-35.725175847678635,-0.414,14.939
8.763,-57.077576881768124,8.124,-15.333,0.451,-23.811551568190005,1.351,9.775
6.18,9.609707253212854,0.836,-7.606,-4.598,-4.421624085398409,0.053,15.497
4.921,24.270241383653826,7.297,-26.669,-4.523,-8.598616648345136,-6.695,35.226
3.02,-3.2893710130544256,6.659,-14.876,11.132,-28.834245901281328,-18.64,74.707
-0.15,-35.14724537705059,-0.76,5.369,-7.482,6.952632724409111,-2.063,21.97
-4.594,-74.61124776438308,2.811,-4.262,0.104,-34.81343544047381,-3.55,25.58
0.932,-20.24157958835176,-2.53,-8.709,-1.179,-11.445568223531566,1.151,10.962
-0.923,46.44603492222396,0.173,-5.55,7.529,-0.7700004467415873,16.214,-32.209
0.094,10.53861659890832,-3.142,-9.033,0.184,-27.148727206430372,-2.02,21.201
-0.066,-16.179037492056896,-17.673,6.408,-4.038,0.01753627182759665,0.224,13.499
-13.83,-12.684855462493799,0.089,-6.04,-1.115,-0.9965719870332372,7.477,-9.012
-0.609,22.413413562124898,1.035,-14.328,-16.159,-35.85807553642333,8.342,-8.346
-1.05,19.04863674955538,0.432,-10.905,4.611,3.332488737979409,2.169,11.133
0.405,45.23242545767495,-12.652,2.705,0.837,2.1411220524941124,-0.327,17.57
-2.432,-20.743955422158205,-1.435,-9.408,2.681,11.060926979512665,5.106,-0.03
0.312,1.7887062397506597,-0.183,-20.727,-0.497,-11.709124891803016,11.842,-19.72
3.93,4.019496773245827,2.206,-15.417,-14.057,-25.489456067889584,6.88,-6.382
-4.747,22.983606630360057,11.353,-19.255,-3.953,1.1214256261787987,-2.154,23.432
3.363,-47.03764302483942,-5.856,-2.909,0.124,12.466944407135763,-1.071,19.046
3.364,8.209542971320172,-6.808,2.892,4.135,5.74868093972151,2.286,7.961
-0.527,-68.13052031750325,-0.328,1.153,-2.557,25.932052305269156,2.068,9.66
-0.066,-28.540976462904297,-5.507,-6.805,5.571,31.366097954930872,-8.114,43.786
-9.25,-38.64333843441217,6.773,-13.471,14.069,-26.08251326124131,-2.298,25.313
2.016,-10.135119794280042,7.337,-21.117,-4.945,-7.864896115383103,-10.977,46.163
-2.938,-21.034768446474384,4.633,-18.064,-8.475,-5.321681659491901,0.673,14.101
-1.988,10.976774408698766,3.892,-14.335,9.971,-16.254038719929373,-10.05,48.886
-0.161,-9.26259106003142,-8.049,2.879,0.766,23.471741691161192,-2.507,23.059
