cytopenias,caramelisation
effacement,5.356941387028012
effacement,5.613041314586425
effacement,5.791417084848802
effacement,6.099778299154768
effacement,6.634205927468437
effacement,6.714430640854056
effacement,6.77186352090705
effacement,7.085383140933557
effacement,7.136778531440609
effacement,7.202491193080412
effacement,7.800301707843521
effacement,7.843282987472289
effacement,7.862586991571985
effacement,7.925866466206374
effacement,8.307652515355969
effacement,8.751175288938736
effacement,8.815790507067653
effacement,9.4315355906319
effacement,9.819274533747441
effacement,11.164168017199001
effacement,13.575625698857356
snowlines,-20.30494971390458
snowlines,-18.060488572821757
snowlines,-17.998130463214046
snowlines,-15.236450503262269
snowlines,-15.01664119351734
snowlines,-14.933426807005011
snowlines,-14.833782568056392
snowlines,-14.04978169006904
snowlines,-12.94758944955152
snowlines,-11.16996873066061
snowlines,-9.97502027495185
snowlines,-9.600640154190444
snowlines,-8.631273236897574
snowlines,-8.46855408655606
snowlines,-8.184479981946
snowlines,-7.46382890324265
snowlines,-7.440283286771636
snowlines,-7.408056871829129
snowlines,-7.181243022939654
snowlines,-7.132908722641782
snowlines,-6.292288990493042
snowlines,-6.228889539321054
snowlines,-5.979981303273502
snowlines,-5.861178788240803
snowlines,-5.6406237231491305
snowlines,-5.570869287742201
snowlines,-5.5358832716659325
snowlines,-5.507637727208132
snowlines,-5.002883275002513
snowlines,-4.938248147135852
snowlines,-4.887511533423808
snowlines,-4.776640656127121
snowlines,-4.457961413204302
snowlines,-3.9715438961974523
snowlines,-3.2038092584611575
snowlines,-3.1081023353608987
snowlines,-3.0211067509284515
snowlines,-2.8643440160509943
snowlines,-2.7446970074484955
snowlines,-2.584260229841731
snowlines,-2.3840398664218054
snowlines,-2.158589218518213
snowlines,-2.125621049116584
snowlines,-1.047677899850838
snowlines,-1.0368059508046696
snowlines,-0.9665474924973072
snowlines,-0.7829162301451941
snowlines,-0.7778146771455726
snowlines,-0.5689598301696305
snowlines,-0.2075659441013505
snowlines,-0.19154562676495998
snowlines,-0.06719227266556785
snowlines,0.12742108434057176
snowlines,0.5219433849880015
snowlines,0.7561386347053071
snowlines,0.9509866348528044
snowlines,1.0153863641387588
snowlines,1.4202825260274405
snowlines,1.6622848742682086
snowlines,1.669462246924919
snowlines,1.7684745108646027
snowlines,1.9780969671295805
snowlines,2.255516629617539
snowlines,2.3155138962147266
snowlines,2.5606299867413895
snowlines,2.8819426052039754
snowlines,3.175468275096143
snowlines,3.223164096664646
snowlines,3.4450739650093887
snowlines,3.5329639783853697
snowlines,3.6353544604759214
snowlines,3.858981703284618
snowlines,4.446558695325937
snowlines,4.581030874963012
snowlines,4.693182440974605
snowlines,5.102045619824518
snowlines,6.135607660828514
snowlines,6.3986892748327335
snowlines,6.403835829725456
snowlines,6.8087690653935455
snowlines,7.319381694198592
snowlines,7.776991244021211
snowlines,8.238399978417407
snowlines,8.368026090976514
snowlines,8.487884386941246
snowlines,8.961272131666922
snowlines,9.024489816485412
snowlines,10.149364706027757
snowlines,10.863877471372696
snowlines,10.985905135415909
snowlines,11.083213717653022
snowlines,11.134246636430989
snowlines,11.274415875619304
snowlines,12.997840237868424
snowlines,13.533283648133464
snowlines,16.864856439275307
snowlines,20.102181637465318
bull-tongue,-4.203901358664216
bull-tongue,-4.111088769805531
bull-tongue,-3.5541338974309364
bull-tongue,-3.54566537787236
bull-tongue,-3.4277980998059614
bull-tongue,-3.245628712316475
bull-tongue,-3.133009235017896
bull-tongue,-2.8163343719606186
bull-tongue,-2.710945312667814
bull-tongue,-2.656929939906554
bull-tongue,-2.6210404400450735
bull-tongue,-2.610826924615089
bull-tongue,-2.5802237931053544
bull-tongue,-2.3080733976272194
bull-tongue,-2.2000280523532347
bull-tongue,-2.1549727135003294
bull-tongue,-2.1057297068615357
bull-tongue,-2.0395421768418607
bull-tongue,-1.8316845914126816
bull-tongue,-1.8110232042552434
bull-tongue,-1.781745831248346
bull-tongue,-1.55335058240932
bull-tongue,-1.5528239836669278
bull-tongue,-1.5370680086711954
bull-tongue,-1.5263901646179165
bull-tongue,-1.4785941919337768
bull-tongue,-1.269592245326638
bull-tongue,-1.2464584259529081
bull-tongue,-1.239351274889289
bull-tongue,-1.2380543839308469
bull-tongue,-1.2218830875387166
bull-tongue,-1.176123465455812
bull-tongue,-1.0458151167699807
bull-tongue,-1.0222142751153915
bull-tongue,-0.8800611819462594
bull-tongue,-0.8488817967398705
bull-tongue,-0.8002058919984686
bull-tongue,-0.7438968879041407
bull-tongue,-0.7198653938046059
bull-tongue,-0.5339356181349618
bull-tongue,-0.48195220964203983
bull-tongue,-0.4799701532495363
bull-tongue,-0.4561619131007309
bull-tongue,-0.32478402165213477
bull-tongue,-0.31822968926425593
bull-tongue,-0.2609546562014601
bull-tongue,-0.25670199221895607
bull-tongue,-0.2532779733543833
bull-tongue,-0.19456022619801375
bull-tongue,-0.17635595409733087
bull-tongue,-0.1682449446872231
bull-tongue,-0.15982405329089436
bull-tongue,-0.13621068504065525
bull-tongue,-0.03869289345330771
bull-tongue,0.08781112471922599
bull-tongue,0.16073163769228072
bull-tongue,0.2705072292532719
bull-tongue,0.33579442422702704
bull-tongue,0.37689635373511743
bull-tongue,0.3784072084523066
bull-tongue,0.49854637417418496
bull-tongue,0.5275134513511278
bull-tongue,0.5712917189281852
bull-tongue,0.5955306831229615
bull-tongue,0.6270189761043189
bull-tongue,0.6394933601648797
bull-tongue,0.640510610819841
bull-tongue,0.6530807033499806
bull-tongue,0.726966540909254
bull-tongue,0.7950636863073076
bull-tongue,0.8995245533958482
bull-tongue,1.033878800146641
bull-tongue,1.0621112932697208
bull-tongue,1.073317110936852
bull-tongue,1.1039153076482089
bull-tongue,1.2477430145904127
bull-tongue,1.2576651392578333
bull-tongue,1.3046840457307654
bull-tongue,1.451869770151548
bull-tongue,1.4816769934201752
bull-tongue,1.6714802723117541
bull-tongue,1.7381683305602742
bull-tongue,1.8120596272709355
bull-tongue,1.8162215612552723
bull-tongue,1.897403378368047
bull-tongue,1.9456301057073682
bull-tongue,1.965220095794512
bull-tongue,2.066730753134401
bull-tongue,2.2946922677092734
bull-tongue,2.326745072170574
bull-tongue,2.5423530655877298
bull-tongue,2.7019380612899155
bull-tongue,2.833753390901527
bull-tongue,2.9816486450261066
bull-tongue,3.2288360586154625
bull-tongue,3.2298043927887425
