rhomboids,limey
lungers,0.07423894036708935
lungers,0.15559839239611525
lungers,0.38825222565614015
lungers,0.6019792770534133
lungers,0.8353952325883207
lungers,0.9995189563492715
lungers,1.0996218288895092
lungers,1.299528162902526
lungers,1.3694744560397532
lungers,1.448762276114981
lungers,1.559778648620136
lungers,1.5720039313936123
lungers,1.5838881352326504
lungers,1.963140858584644
lungers,2.0668292731894966
lungers,2.0891670084113603
lungers,2.092504466085758
lungers,2.4729126454060992
lungers,2.605824451169298
lungers,2.6223225142058646
lungers,2.647155687978183
lungers,2.807516840410054
lungers,2.8103844653629917
lungers,2.8837434400724047
lungers,2.9260283344267433
lungers,3.032722110499588
lungers,3.082987902023307
lungers,3.091747712978492
lungers,3.101417995331791
lungers,3.253249760378411
lungers,3.2881584844502747
lungers,3.347254621964796
lungers,3.430921733592404
lungers,3.4716403746015643
lungers,3.5053301272074378
lungers,3.5971335627346184
lungers,3.726591259196765
lungers,3.7624647233997615
lungers,3.9273345609465946
lungers,4.213361699533948
lungers,4.321879069225374
lungers,4.618958221121167
lungers,4.682471697992979
lungers,4.827822082272984
lungers,5.099005785855121
lungers,5.110971161626857
lungers,5.388834791513612
lungers,5.824881618649737
lungers,5.849928934750429
lungers,6.569336969696017
lungers,8.839961281833617
lungers,10.66210454793702
bull-tongue,-21.14815805416866
bull-tongue,-19.22181257264522
bull-tongue,-18.363552590575836
bull-tongue,-18.230651872448032
bull-tongue,-16.438026991964904
bull-tongue,-13.867017784074228
bull-tongue,-13.103899220412332
bull-tongue,-12.447270550463587
bull-tongue,-11.134976837679824
bull-tongue,-10.794079689604855
bull-tongue,-10.219247355594288
bull-tongue,-9.962338125690927
bull-tongue,-9.172963288794914
bull-tongue,-9.128689018312475
bull-tongue,-8.500809215020949
bull-tongue,-8.183274416706404
bull-tongue,-7.903486093050853
bull-tongue,-7.830308491636449
bull-tongue,-7.765255351192129
bull-tongue,-7.22219792662229
bull-tongue,-6.631440613393112
bull-tongue,-6.170689246500301
bull-tongue,-6.073979218069527
bull-tongue,-6.0724449008179935
bull-tongue,-6.046656607396985
bull-tongue,-5.5856372441748565
bull-tongue,-5.564252241558774
bull-tongue,-5.316437758492162
bull-tongue,-5.106922597885891
bull-tongue,-4.97889082521361
bull-tongue,-4.632285992839684
bull-tongue,-4.047931794684243
bull-tongue,-3.974974966846638
bull-tongue,-3.795338792108935
bull-tongue,-3.7704603517849007
bull-tongue,-3.745830787117374
bull-tongue,-3.3908398779755213
bull-tongue,-3.204223073440768
bull-tongue,-3.1846649733738386
bull-tongue,-3.1077897853773853
bull-tongue,-2.6024153623161164
bull-tongue,-2.593730084240838
bull-tongue,-2.1512816591029953
bull-tongue,-2.141931692682966
bull-tongue,-1.9645079226893027
bull-tongue,-1.6595608538910995
bull-tongue,-1.521416369253065
bull-tongue,-1.398830694936242
bull-tongue,-1.2306162265678917
bull-tongue,-0.8464092196951576
bull-tongue,-0.7132828092305675
bull-tongue,-0.7008256847499857
bull-tongue,-0.19533673775919377
bull-tongue,0.25897481350564405
bull-tongue,0.2601459469905243
bull-tongue,0.31906745977249085
bull-tongue,0.5753845007526773
bull-tongue,0.7605592901372943
bull-tongue,1.0059542644453248
bull-tongue,1.6947114828736596
bull-tongue,2.092071703143734
bull-tongue,2.1987280552734325
bull-tongue,2.2341542171780806
bull-tongue,2.46629464288894
bull-tongue,2.8823678124779404
bull-tongue,2.904276494020834
bull-tongue,3.0823083282104666
bull-tongue,3.1916432221783633
bull-tongue,3.2194249822842793
bull-tongue,3.505806766830544
bull-tongue,3.708184263426695
bull-tongue,3.783126486481265
bull-tongue,3.8602511533866197
bull-tongue,4.252732129649949
bull-tongue,4.855403477525957
bull-tongue,5.290349452817072
bull-tongue,5.329768947349573
bull-tongue,5.599360296379627
bull-tongue,5.633122996236646
bull-tongue,5.691996251396263
bull-tongue,5.768454710707221
bull-tongue,6.040824908046885
bull-tongue,6.450131124069924
bull-tongue,6.567455247235437
bull-tongue,7.224551561114564
bull-tongue,7.481958088015229
bull-tongue,7.58301086209108
bull-tongue,7.60519041556945
bull-tongue,7.755278309343715
bull-tongue,7.918724817897481
bull-tongue,8.035028771973943
bull-tongue,8.360059128375736
bull-tongue,8.632707258820712
bull-tongue,9.185677122030508
bull-tongue,9.241934737280094
bull-tongue,10.577285685444155
bull-tongue,11.014884314838447
bull-tongue,11.172822711409841
bull-tongue,12.56595325040858
bull-tongue,12.821767734614543
bull-tongue,13.577407322017478
bull-tongue,13.725242587062457
bull-tongue,14.26061117118724
bull-tongue,14.818266794818468
bull-tongue,15.167734710027554
bull-tongue,15.496394307168796
bull-tongue,16.551589129425224
bull-tongue,18.357705871559112
bull-tongue,21.724836777557382
substitutes,-8.28876100525717
substitutes,-5.953157694263479
substitutes,-5.77857751390159
substitutes,-5.5192324378832485
substitutes,-5.053359126224016
substitutes,-4.838281536076608
substitutes,-3.9631832896311825
substitutes,-3.932174500525436
substitutes,-3.642358167877888
substitutes,-3.6161000383860227
substitutes,-3.1895981212019007
substitutes,-3.119656409051605
substitutes,-3.0586442841244526
substitutes,-2.672086589056082
substitutes,-2.6402663710650716
substitutes,-2.2325407005041655
substitutes,-2.1832537355980506
substitutes,-1.9131835585899828
substitutes,-1.89843232938759
substitutes,-1.8772567831007032
substitutes,-1.8309414023522135
substitutes,-1.8202450905588374
substitutes,-1.6879466900434106
substitutes,-1.6752912206516708
substitutes,-1.6382090401144218
substitutes,-1.4951256849285652
substitutes,-1.4874813594788245
substitutes,-1.418122959709805
substitutes,-1.3876860084533156
substitutes,-1.310120720002272
substitutes,-1.232572367634755
substitutes,-1.2210976987030908
substitutes,-1.2207137151592125
substitutes,-1.1707584330391416
substitutes,-1.1270390061710482
substitutes,-0.9604854856697943
substitutes,-0.9371240259514179
substitutes,-0.8636886206362885
substitutes,-0.8390222326162734
substitutes,-0.759914713827778
substitutes,-0.6996097423185239
substitutes,-0.672245727118317
substitutes,-0.6605691446311253
substitutes,-0.6355047559532838
substitutes,-0.5363480713600131
substitutes,-0.45108145249580844
substitutes,-0.38170739753521316
substitutes,-0.3616478587808397
substitutes,-0.28497455827761486
substitutes,-0.2362003555258651
substitutes,-0.18524962950486196
substitutes,-0.15132773619026152
substitutes,-0.12405568527615438
substitutes,-0.07250909444105551
substitutes,0.13763142441578471
substitutes,0.25350396966386635
substitutes,0.3502073444652518
substitutes,0.7124831289698396
substitutes,0.7412772835603095
substitutes,0.9557357410922119
substitutes,1.0763724416479272
substitutes,1.110124324675785
substitutes,1.1424235122009911
substitutes,1.2339688642757238
substitutes,1.445908654819338
substitutes,1.473946165015902
substitutes,1.5473663250527148
substitutes,1.9007031457935577
substitutes,2.1311645140270397
substitutes,2.247151488354606
substitutes,2.8215955760924047
substitutes,3.0043179704054634
substitutes,3.1589607958419137
substitutes,3.3579672227116704
substitutes,3.3627518614322653
substitutes,3.4545489242722534
substitutes,3.5173101123670856
substitutes,3.6080626094268835
substitutes,3.666249476261162
substitutes,3.7088536781838304
substitutes,3.8123592410218907
substitutes,3.921858583247439
substitutes,4.020326765408005
substitutes,4.071909880476419
substitutes,4.116275831838348
substitutes,4.2886365829745206
substitutes,4.505318206366529
substitutes,4.9580680197624245
substitutes,5.438317491910518
substitutes,5.6264241109474185
dissection,-12.694943259294426
dissection,-12.686094403847525
dissection,-11.582426079446273
dissection,-9.937716716404529
dissection,-9.404882851803832
dissection,-8.306292988655446
dissection,-8.234870434630066
dissection,-6.743718006450971
dissection,-6.688185587527918
dissection,-6.599712370692657
dissection,-6.558576137328374
dissection,-6.332755648580721
dissection,-6.197107428317089
dissection,-5.90374384073243
dissection,-5.075710954982004
dissection,-4.829136907878337
dissection,-4.402979764582706
dissection,-4.230588358614933
dissection,-3.9905467398032513
dissection,-3.84006989852572
dissection,-3.759803954310484
dissection,-3.5181598687555815
dissection,-3.4178768770285917
dissection,-3.076942281582316
dissection,-3.036013184741548
dissection,-2.9531885227300574
dissection,-2.6027450197340865
dissection,-2.2526476529705466
dissection,-1.9700617039719144
dissection,-1.692249571205101
dissection,-1.518987769595603
dissection,-1.2589314437119399
dissection,-1.2275682604707974
dissection,-0.9301131124355917
dissection,-0.8797712821708681
dissection,-0.7769823690440757
dissection,-0.6342130514627868
dissection,-0.5006109313776317
dissection,-0.22606715966749
dissection,0.36064275702663523
dissection,0.3774374431610032
dissection,0.5666036060764861
dissection,0.7660215098188247
dissection,0.9302528340822607
dissection,0.9872309384097351
dissection,1.0913948431305334
dissection,1.1678754018650375
dissection,1.2196173747208126
dissection,1.3404466541106437
dissection,1.372457535296845
dissection,1.4270937258528997
dissection,1.5726456084711118
dissection,1.5824365097394328
dissection,1.7908549781172867
dissection,1.9062877462661363
dissection,2.024828322386854
dissection,2.2043089437483765
dissection,2.3448610502767817
dissection,2.3605382122814422
dissection,2.414812395908211
dissection,2.529164144571259
dissection,2.573645322401658
dissection,2.961832458328056
dissection,2.9869594842077856
dissection,3.208622461177966
dissection,3.265528988262588
dissection,3.4467555580910063
dissection,3.6421181219534833
dissection,3.661237238123568
dissection,4.0425827603832625
dissection,4.127794013417304
dissection,4.752607924537093
dissection,5.003632682920086
dissection,5.027119523361789
dissection,5.156403875929979
dissection,5.324257885628818
dissection,5.664375026810977
dissection,5.7900916039115655
dissection,6.3875226006788655
dissection,7.100710461883588
dissection,7.28810936930969
dissection,7.391985879342949
dissection,8.61989488555308
dissection,9.144834536470272
dissection,9.176367783086153
dissection,9.346869697393009
dissection,9.641656476118406
dissection,10.518752359485712
dissection,10.765761655221958
dissection,12.478899909668982
dissection,15.196234878437052
dissection,19.679081703630978
dissection,26.788270626932256
snowlines,-1.6208023451897582
snowlines,-1.4378158760899764
snowlines,-1.2116761167546803
snowlines,-1.1717946597219233
snowlines,-1.1423685186464005
snowlines,-1.1056585053426915
snowlines,-1.0125220670953943
snowlines,-0.9266936381866248
snowlines,-0.9135529472501527
snowlines,-0.9009368608324003
snowlines,-0.8663000804450876
snowlines,-0.7603088901149647
snowlines,-0.6710880878065701
snowlines,-0.6661392289923129
snowlines,-0.6107828877401443
snowlines,-0.6051201204313271
snowlines,-0.5112025466297784
snowlines,-0.49468714808632486
snowlines,-0.49367544926019163
snowlines,-0.46847316993023275
snowlines,-0.45868489553909597
snowlines,-0.4223276682996295
snowlines,-0.3762767920609335
snowlines,-0.3754266435473069
snowlines,-0.3736092446085967
snowlines,-0.3711662785376812
snowlines,-0.37023676717622994
snowlines,-0.35856006621134845
snowlines,-0.3509849403225166
snowlines,-0.3427613404971524
snowlines,-0.3400705039904746
snowlines,-0.23857347875323587
snowlines,-0.22860096584788328
snowlines,-0.20216563010735783
snowlines,-0.19648948382181006
snowlines,-0.18439625837946386
snowlines,-0.17372030176037595
snowlines,-0.14203327661707513
snowlines,-0.12469341682635757
snowlines,-0.11395140848674745
snowlines,-0.0921442983567115
snowlines,-0.0503154770610524
snowlines,-0.0433867749422967
snowlines,-0.0414179955134105
snowlines,-0.027541336641273707
snowlines,-0.026374692332995324
snowlines,-0.005004346290993723
snowlines,-0.002072412084728396
snowlines,0.0031856689460752624
snowlines,0.018833177180515404
snowlines,0.04319266006229181
snowlines,0.0456204331929514
snowlines,0.058946566233078194
snowlines,0.06832566537354663
snowlines,0.07345626874023116
snowlines,0.07736182575433515
snowlines,0.0885254946199378
snowlines,0.1183331299352423
snowlines,0.11872479183888038
snowlines,0.15349076853940954
snowlines,0.18832482550672128
snowlines,0.21139281874744345
snowlines,0.23200989686072648
snowlines,0.24459897933008062
snowlines,0.34328105390096486
snowlines,0.3820367891161608
snowlines,0.5022040297118394
snowlines,0.5255476311383236
snowlines,0.5267123921639169
snowlines,0.5421361959907535
snowlines,0.5468820417600031
snowlines,0.5774053383279665
snowlines,0.5915481993170224
snowlines,0.6068485194441791
snowlines,0.6181989548756371
snowlines,0.6404275685084437
snowlines,0.6410408352117875
snowlines,0.6641602003386345
snowlines,0.6768146373360651
snowlines,0.7009617760098628
snowlines,0.7163573446620284
snowlines,0.8031216463984603
snowlines,0.8108224860351941
snowlines,0.8370016736490102
snowlines,0.8427807496412097
snowlines,0.8519818422975773
snowlines,0.8979003789871297
snowlines,0.9040563436744925
snowlines,0.9733617256078486
snowlines,0.9929733871608739
snowlines,0.9973777939322479
snowlines,1.1001054537697756
snowlines,1.1200639356965545
snowlines,1.2793552190644348
snowlines,1.3866076921065262
snowlines,1.4191419650321773
snowlines,1.83716146020295
snowlines,1.988144954381393
