snowlines,fluor-spar
streptothricin,7.958589195264359
streptothricin,9.267306556302497
streptothricin,9.621161345094233
streptothricin,10.95094325662376
streptothricin,10.953579976822661
lungers,-10.296982308605433
lungers,-8.041720992827624
lungers,-7.633537437561462
lungers,-5.994713527196301
lungers,-5.761993763448543
lungers,-5.558599041092293
lungers,-5.044446029841076
lungers,-4.381422815324653
lungers,-3.975351676448942
lungers,-3.9333588125974273
lungers,-3.7958878197919477
lungers,-3.4934459254135355
lungers,-3.454559875937108
lungers,-3.318114794454041
lungers,-3.296006897179121
lungers,-3.2794101347700106
lungers,-3.037840926993069
lungers,-2.9657423388007045
lungers,-2.9649644038153427
lungers,-2.959063680351489
lungers,-2.931358367291879
lungers,-2.930049045205426
lungers,-2.8593657642981207
lungers,-2.847179444354697
lungers,-2.692505910755978
lungers,-2.6445691363869397
lungers,-2.6125089204293452
lungers,-2.315545686501476
lungers,-2.1814258320192335
lungers,-2.092271779143461
lungers,-2.0691087211198735
lungers,-1.9500610412996633
lungers,-1.9063455571215915
lungers,-1.893814011953254
lungers,-1.7873499808408124
lungers,-1.7314488611557957
lungers,-1.7233004999065387
lungers,-1.6132944547336985
lungers,-1.5479889520988452
lungers,-1.5061139494372664
lungers,-1.4543773362262196
lungers,-1.3502661106332454
lungers,-1.1835398121747154
lungers,-1.0391623452920842
lungers,-0.8812231391862086
lungers,-0.8756469139227873
lungers,-0.32784133180259656
lungers,-0.24257877767920688
lungers,-0.21039615599227948
lungers,-0.14267493072847345
lungers,-0.10915399683993372
lungers,-0.08767527993941576
lungers,0.06388048473947888
lungers,0.08005959450818421
lungers,0.12553807958623897
lungers,0.47365915571362077
lungers,0.49562857481697153
lungers,0.5155853559673648
lungers,0.5450945041991926
lungers,0.5500736192944482
lungers,0.5543905807754662
lungers,0.5600779586616977
lungers,0.6761051074117401
lungers,0.7338549638438536
lungers,0.7990064857377323
lungers,1.3930723600967703
lungers,1.6266503065856408
lungers,1.655279087512263
lungers,1.661783991064526
lungers,1.7572007300403734
lungers,1.8518654362476343
lungers,1.875465830580938
lungers,1.9150530812955548
lungers,2.054087375442871
lungers,2.1270250155522024
lungers,2.199686313075274
lungers,2.222165919566758
lungers,2.268720490548582
lungers,2.362369334968547
lungers,2.4342179598546343
lungers,2.6393165923715816
lungers,2.674437556761473
lungers,2.818668408737793
lungers,2.8311940843950127
lungers,3.088816214133608
lungers,3.1296336615103697
lungers,3.15951938144352
lungers,3.264994449405324
lungers,3.2887455886699932
lungers,3.3680300397882714
lungers,3.491060686534274
lungers,3.8289913035425376
lungers,3.8663449152682134
lungers,4.029173580781821
lungers,4.032146070816234
lungers,4.231779656600923
lungers,4.590145511631759
lungers,5.178237709194027
lungers,5.218749384089591
lungers,5.560056592476355
lungers,5.680939179060514
lungers,5.844402963964833
lungers,6.303323585499031
lungers,6.922586698513884
lungers,7.119149818060322
lungers,7.253011192525957
lungers,7.810118571924767
lungers,7.936804026282565
lungers,8.334595191613706
dissection,-13.910211458526867
dissection,-11.805071570169185
dissection,-11.478244112566461
dissection,-10.525385257142357
dissection,-9.228731723392892
dissection,-9.22525417393081
dissection,-8.549608555749721
dissection,-8.360990753555358
dissection,-7.597364534229114
dissection,-7.253778159116963
dissection,-5.847666688749763
dissection,-5.627617982337816
dissection,-5.439576810000968
dissection,-5.145188181564658
dissection,-4.8736990340807935
dissection,-4.6815649005395805
dissection,-4.514277162139699
dissection,-4.481919752761149
dissection,-4.381225089712781
dissection,-4.138487140051908
dissection,-4.066960999521312
dissection,-3.943075296320616
dissection,-3.624793692438406
dissection,-3.5387527825032414
dissection,-3.4675146424263463
dissection,-3.4227264067686063
dissection,-3.3370186490142095
dissection,-3.1532568404665624
dissection,-3.0807032449213554
dissection,-2.6613644144911226
dissection,-2.5329832951596227
dissection,-2.4282006832526895
dissection,-2.4081321027991347
dissection,-2.3439261592085012
dissection,-2.21058445929769
dissection,-1.7941467690208115
dissection,-1.6517764803796102
dissection,-1.6234145775827744
dissection,-1.5767282133628149
dissection,-1.3795100169856909
dissection,-1.1559627434534623
dissection,-0.970027866632695
dissection,-0.9533517898501
dissection,-0.6812287736118808
dissection,-0.5286709891611955
dissection,-0.49899229185371746
dissection,-0.4092629240321374
dissection,-0.3366708509171527
dissection,-0.09568025630500253
dissection,-0.08811329105698268
dissection,-0.07323128858709395
dissection,0.07874700565502704
dissection,0.14099688079342115
dissection,0.20359718586583142
dissection,0.32256872741865744
dissection,0.6500336368704757
dissection,0.6606403327546516
dissection,0.7782767413904119
dissection,0.8017466719260031
dissection,0.9171454358705831
dissection,1.2585811429546312
dissection,1.3413146942568699
dissection,1.5253947670826578
dissection,1.528556236911902
dissection,1.5536537095579428
dissection,1.6181607811065244
dissection,1.8190944212788107
dissection,1.9901074828880507
dissection,1.9952778987006177
dissection,2.011164842180185
dissection,2.299469032678526
dissection,2.353384403430885
dissection,2.4130546585217547
dissection,2.6587441500462283
dissection,2.7885509144437433
dissection,3.0382259009535963
dissection,3.108980989843239
dissection,3.2125214332933227
dissection,3.6623601406921407
dissection,3.6816691972535254
dissection,3.7261765833728617
dissection,4.212211983849361
dissection,4.34464465827021
dissection,4.433332519914747
dissection,4.600937495413522
dissection,5.044714542122558
dissection,5.708527986786959
dissection,5.837665864593019
dissection,6.037506899120695
dissection,6.1380312373029104
dissection,6.301017835646552
dissection,6.388763187260391
dissection,6.479066738887981
dissection,7.056473886996766
dissection,7.1874666592839445
dissection,9.65251942790346
dissection,9.802217135950148
dissection,9.830293209355782
dissection,11.282553784396388
dissection,11.414768461072168
dissection,11.727680529004836
dissection,12.554425201211163
dissection,13.016533298974176
dissection,13.279916756824178
dissection,17.43036497914574
